m5pp_id,m5pp_cid,m5pp_number,m5pp_length,m5pp_title,m5pp_artist,m5pp_album,m5pp_year,m5pp_language,m5pp_filtering_attr,m5pp_id
1862,9650,39,16,Hz,Bass Mekanik,Food For Woofers,,English,hzbassmekanikfoodforwoofers,m5pp_1862
1863,8989,4,590,House of the Rising Sun (instrumental),The Seldom Scene,"1993-02-28: Arts Center, Carrboro, NC, USA",,English,houseoftherisingsuntheseldomscene19930228artscentercarrboroncusa,m5pp_1863
1864,4865,19,221,The Lucky One (live version),Faith Hill,"Promo Only: Country Radio, July 2006",2006,English,theluckyonefaithhillpromoonlycountryradiojuly2006,m5pp_1864
1865,4870,5,153,Beachy Head,Kissing Tigers,Pleasure of Resistance,2004,English,beachyheadkissingtigerspleasureofresistance,m5pp_1865
1866,7792,12,-1,Uninvited,Alanis Morissette,Havoc_and_Bright_Lights,2012,E.,uninvitedalanismorissettehavocandbrightlights,m5pp_1866
1867,4529,8,-1,The Key (Tommy Trash remix),Où est le swimming pool,Raw 2011,2011,English,thekeyoùestleswimmingpoolraw2011,m5pp_1867
1868,4874,5,239,Everything Counts,Stevens & Marcellus,2006,,English,everythingcountsstevens&marcellus2006,m5pp_1868
1869,4886,9,260,Distractions,Erin Miller,Release,,Englissh,distractionserinmillerrelease,m5pp_1869
1870,3540,12,181,Mi serenata,Edgardo Donato,1933-1941 (Colección 78 RPM),2004,Spanish,miserenataedgardodonato19331941,m5pp_1870
1871,4895,2,194,Katate Hai Dukh Mein Yeh Din,Lata Mangeshkar,Maestros - Masters of Melody Disc 1,2007,,katatehaidukhmeinyehdinlatamangeshkarmaestrosmastersofmelodydisc1,m5pp_1871
1872,4897,13,-1,Girl on My Mind,Buddy Holly,The Very Best of Buddy Holyl and the Crickets,2008,Englihs,girlonmymindbuddyhollytheverybestofbuddyholylandthecrickets,m5pp_1872
1873,9166,5,759,Tune Five,AMM,Tunes Without Measure or End,2000,English,tunefiveammtuneswithoutmeasureorend,m5pp_1873
1874,7873,7,378,Wandering Musician,The Doors,Other Voices / Full Circle,1999,English,wanderingmusicianthedoorsothervoicesfullcircle,m5pp_1874
1875,4913,3,303,Birth - Sex - Death,B‐Ton‐K & Puls,Novocain,2001,English,birthsexdeathb‐ton‐k&pulsnovocain,m5pp_1875
1876,4917,5,103,"Cantata""IchwilldenKreuzstabgernetragen"",BWV56:V.Choral:""Komm,oTod,duSSchlafesBruder""",Johann Sebastian Bach,111 Years of Deutsche Grammophon: The Collectors' Edition 2,2010,English,cantataichwilldenkreuzstabgernetragenbwv56vchoralkommotoddusschlafesbruderjohannsebastianbach111yearsofdeutschegrammophonthecollectorsedition2,m5pp_1876
1877,3776,7,322,"Johannes-Passion, BWV 245: ""Und die Kriegsknechten flochten eine Krone""",Johann Sebastian Bach,Johannes-Passion BWV 245 (feat. conductor: Eric Ericson),1993,German,johannespassionbwv245unddiekriegsknechtenflochteneinekronejohannsebastianbachjohannespassionbwv245,m5pp_1877
1878,4922,4,126,Go Ahead,Pop Art Toasters,Pop Art Toasters,1994,English,goaheadpoparttoasterspoparttoasters,m5pp_1878
1879,4923,1,295,Billie Jean,Michael Jackson,NOW That's What I Call 30 Years,2013,English,billiejeanmichaeljacksonnowthatswhaticall30years,m5pp_1879
1880,4926,4,439,Spiegel,Matthew Florianz,Niemandsland,2006,English,spiegelmatthewflorianzniemandsland,m5pp_1880
1881,8638, 8,186,Meurs meurs Jean-Pierre Pernaut,Sexy Sushi,Mauvaise foi,2011,French,meursmeursjeanpierrepernautsexysushimauvaisefoi,m5pp_1881
1882,4930,14,316,"Gayrı Resmi Hürrem ""Nastasia'nın Teması"" (sahne müziği - orkestral versiyon)",Can Atilla,Aşk-ı Hürrem,2007,Turkish,gayrıresmihürremnastasianıntemasıcanatillaaşkıhürrem,m5pp_1882
1883,4932,4,72,Bailing at the Gates,Baader Brains,The Complete Unfinished Works of the Young Tigers,2996,English,bailingatthegatesbaaderbrainsthecompleteunfinishedworksoftheyoungtigers,m5pp_1883
1884,976,4,285,nan,Camden Stoddard,Amnesia Fortnight 2014: Official Soundtrack,2014,,#camdenstoddardamnesiafortnight2014officialsoundtrack,m5pp_1884
1885,4940,14,156,The Number,MarkMothersbaugh,Safe Original Motion Picture Soundtrack,,English,thenumbermarkmothersbaughsafeoriginalmotionpicturesoundtrack,m5pp_1885
1886,8865,3,236,Magi Melody (original club mix edit),Groove Solution,"Octan, Volume 5",1996,English,magimelodygroovesolutionoctanvolume5,m5pp_1886
1887,4945,11,313,Thermal Nose (Forbidden Colours-mix),Statemachine,"A Reflexion of Synthpop, Volume 1",1998,English,thermalnosestatemachineareflexionofsynthpopvolume1,m5pp_1887
1888,4946,9,226,Got to Get Away,Freddie McGregor,Rastafari Lives Best of Roots Vol.2,200 6,english,gottogetawayfreddiemcgregorrastafarilivesbestofrootsvol2,m5pp_1888
1889,4949,2,-1,Tomaten,firestARTer,Schubfladen #1,2005,German,tomatenfirestarterschubfladen#1,m5pp_1889
1890,4899,10,119,Also sprach Zarathustra,Richard Strauss,The Classics at the Movies (disc 1),,English,alsosprachzarathustrarichardstrausstheclassicsatthemovies,m5pp_1890
1891,4954,25,72,unk.,Markus Schulz feat. Departure,A State of Trance: Year Mix 2007,2007,English,unkmarkusschulzfeatdepartureastateoftranceyearmix2007,m5pp_1891
1892,4959,2,-1,Blod,I Love You,All of Us,,English,blodiloveyouallofus,m5pp_1892
1893,6485,8,-1,Allein,Schönheitsfehler,Aussenseiter / Spitzenreiter,,German,alleinschönheitsfehleraussenseiterspitzenreiter,m5pp_1893
1894,4965,7,190,"Sing, Little Birdie",Shearwater,Palo Santo: Expanded Edition,2007,English,singlittlebirdieshearwaterpalosantoexpandededition,m5pp_1894
1895,9769,13,471,Loverman,Metallica,Greatest Ballads Platinum Collection,,English,lovermanmetallicagreatestballadsplatinumcollection,m5pp_1895
1896,6417,1,281,"Der du von dem Himmel bist, S. 279 (fist version)",Franz,"The Complete Songs, Volume 2",2012,[Multiple languages],derduvondemhimmelbists279franzthecompletesongsvolume2,m5pp_1896
1897,4981,4,-1,Traces of Paganea,Furious,Peace and Love,,English,tracesofpaganeafuriouspeaceandlove,m5pp_1897
1898,4982,7,518,Balladen om Rickard Sandler,Tore Berger,I huset långt på landet,2009,Swedish,balladenomrickardsandlertorebergerihusetlångtpålandet,m5pp_1898
1899,4983,10,-1,Rock Steady,Future Prophecies,Raw,2005,English,rocksteadyfuturepropheciesraw,m5pp_1899
1900,9555,10,217,River of Love,BillN elson,"My Secret Studio, Volume 1",1992,English,riveroflovebillnelsonmysecretstudiovolume1,m5pp_1900
1901,4990,13,-1,Provinssin jälkeen,Jenni Vartiainen,Seilissä,2011,Finnish,provinssinjälkeenjennivartiainenseilissä,m5pp_1901
1902,5344,15,176,Boy Meets Girl,Paper Blitz Tissue,Real Life Permanent Dreams: A Cornucopia of British Psychedelia 1965-1970,2007,English,boymeetsgirlpaperblitztissuereallifepermanentdreamsacornucopiaofbritishpsychedelia19651970,m5pp_1902
1903,4994,3,-1,Song,The Anywheres,The Anywheres,2006,English,songtheanywherestheanywheres,m5pp_1903
1904,4996,6,252,Who You Love,John Mayer feat. Katy Perry,Paradise Valley,2013,English,whoyoulovejohnmayerfeatkatyperryparadisevalley,m5pp_1904
1905,6287,2,-1,Wannabe,Dallas Crane,No Through Road,2003,English,wannabedallascranenothroughroad,m5pp_1905
1906,4998,9,279,Crcified,The Popes,Outlaw Heaven,2009,English,crcifiedthepopesoutlawheaven,m5pp_1906
1907,5000,8,294,Monsoon,Emmerhoff & The Melancholy Babies,Spin Out Live,,English,monsoonemmerhoff&themelancholybabiesspinoutlive,m5pp_1907
1908,5001,1,187,Jemaigntiendrai,Alderliefste,Je maintiendrai,,French,jemaigntiendraialderliefstejemaintiendrai,m5pp_1908
1909,5004,16,152,Coming Clean,Green Day,Egocentric Plastic Men,1994,English,comingcleangreendayegocentricplasticmen,m5pp_1909
1910,5009,6,201,Palomita Blanca,Aníbal Troilo,Aquellos Valses Inolvidables,,Spanish,palomitablancaaníbaltroiloaquellosvalsesinolvidables,m5pp_1910
1911,5010,18,183,Say You'll Be Mine,Eddy Arnold,"The Tennessee Plowboy and His Guitar, Volume 2",,English,sayyoullbemineeddyarnoldthetennesseeplowboyandhisguitarvolume2,m5pp_1911
1912,670,3,187,All Together,Novi Singers,Go Right: Jazz From Poland 1963-75,1999,English,alltogethernovisingersgorightjazzfrompoland196375,m5pp_1912
1913,2484,6,221,White Knuckle Flight,Ronny Elliott,A Postcard From Jack,1998,English,whiteknuckleflightronnyelliottapostcardfromjack,m5pp_1913
1914,414,4,162,Still a Rat,Tanner,Ill Gotten Gains,1995,English,stillarattannerillgottengains,m5pp_1914
1915,5020,2,478,Я остался здесь...,Откровения дождя,Откровения дождя,2009,Russian,яосталсяздесьоткровениядождяоткровениядождя,m5pp_1915
1916,5024,2,344,Eumenides,Esben,33,2010,English,eumenidesesben33,m5pp_1916
1917,5029,4,333,Fire and Water (live),Chandeen,Papillon,1996,English,fireandwaterchandeenpapillon,m5pp_1917
1918,5032,10,136,The Diary,Neil Sedaka,The Rock 'n' Roll Era: The '50s: Last Dance,1990,English,thediaryneilsedakatherocknrollerathe50slastdance,m5pp_1918
1919,8165,6,156,Prisoner of Dub,Sub Oslo,Sub Signals - Volume 1,2006,English,prisonerofdubsuboslosubsignalsvolume1,m5pp_1919
1920,5046,4,266,Look at Me Now (feat. Mr. Porter),Young Buck,Straight Outta Ca$hville,2004,English,lookatmenowyoungbuckstraightouttaca$hville,m5pp_1920
1921,6901,7,168,Sarah Appears (Alternate),Miklós Rózsa,"The World, the Flesh and the Devil",2002,English,sarahappearsmiklósrózsatheworldthefleshandthedevil,m5pp_1921
1922,5057,6,-1,La Fille du Père Noël,Jacques Dutronc,"Et vous, et vous, et vous...",2010,French,lafilledupèrenoëljacquesdutroncetvousetvousetvous,m5pp_1922
1923,2166,4,160,Burning Bridges,George Jones,Jones Country / You've Still Got a Place in My Heart,2013,English,burningbridgesgeorgejonesjonescountryyouvestillgotaplaceinmyheart,m5pp_1923
1924,5058,9,174,I Want a Litle Girl (-1),Kansas City Six,The Alternative Lester,1991,English,iwantalitlegirlkansascitysixthealternativelester,m5pp_1924
1925,8312,1,-1,Until You Understand,Kings of Convenience,"2004-05-28: Collegium Leoninum, Bonn, Germany",,English,untilyouunderstandkingsofconvenience20040528collegiumleoninumbonngermany,m5pp_1925
1926,5063,4,337,Lunfardo,Piazzolla Ástor,Milonga del Angel,1984,,lunfardopiazzollaástormilongadelangel,m5pp_1926
1927,5066,12,53,Nonsense,Robert Miles,Th1rt3en,2011,English,nonsenserobertmilesth1rt3en,m5pp_1927
1928,5088,8,270,Me cuesta mucho amarte,Alejandra Guzmán,Serie Millenium 21,,Spanish,mecuestamuchoamartealejandraguzmánseriemillenium21,m5pp_1928
1929,5090,13,-1,Dok svira radio,Boris Novković,Mojih prvih 20 Live,2007,Croatian,doksviraradioborisnovkovićmojihprvih20live,m5pp_1929
1930,5093,7,-1,Слезы биDзона,Митя Кузнецов,"Америка, небо забытых предков",2006,Russian,слезыбиdзонамитякузнецовамериканебозабытыхпредков,m5pp_1930
1931,5094,B3,279,Fire Alarm ( The Language of the Body),Prurient,Guide to Grooming,2001,nglish,firealarmprurientguidetogrooming,m5pp_1931
1932,5096,1,326,The Reflecting God,Marilyn Manson,"2001-06-08: New World Music Theatre, Tinley Park, IL, USA",,English,thereflectinggodmarilynmanson20010608newworldmusictheatretinleyparkilusa,m5pp_1932
1933,5098,9,448,Heaven Can Wait,Iron Maiden,A Real Live One,1993,English,heavencanwaitironmaidenarealliveone,m5pp_1933
1934,5101,11,435,Verlust (DJ Phil mix),xotox,"Aderlass, Volume 7",2010,English,verlustxotoxaderlassvolume7,m5pp_1934
1935,5104,51,30,Rusty Van Cowboy (a) :30,Vasco,Indie Heart Acoustic,,English,rustyvancowboy30vascoindieheartacoustic,m5pp_1935
1936,5107,8,214,Ox to the D,Wildchild feat. Frank-N-Dank,Jack of All Trades,2008,English,oxtothedwildchildfeatfrankndankjackofalltrades,m5pp_1936
1937,5114,4,54,Fairs & Carousels: Sheooting Gallery,Zdeněk Pololáník & Karel Vágner,Fairs & Carnival & Circus,,English,fairs&carouselssheootinggalleryzdeněkpololáník&karelvágnerfairs&carnival&circus,m5pp_1937
1938,5118,28,131,The Morning After,John Barry,Until September,2011,En glish,themorningafterjohnbarryuntilseptember,m5pp_1938
1939,5119,8,246,Hiroshima,Maria Farantouri & Zülfü Livaneli,Ensemble,,Turkish,hiroshimamariafarantouri&zülfülivaneliensemble,m5pp_1939
1940,2755,5,-1,Moskito,Doc Tom,Rough and Fast,1994,English,moskitodoctomroughandfast,m5pp_1940
1941,5131,7,333,"Moksha - Emotional freedom, spiritual liberation",Tom Colletti,Yoga is Love,,,mokshaemotionalfreedomspiritualliberationtomcollettiyogaislove,m5pp_1941
1942,5132,6,251,Invisible Sun,London Symphony Orchestra,Fortress: The London Symphony Orchestra Performs Sting,1995,English,invisiblesunlondonsymphonyorchestrafortressthelondonsymphonyorchestraperformssting,m5pp_1942
1943,9994,12,265,Steal Away,Dublin City Ramblers,of of Earls,,English,stealawaydublincityramblersofofearls,m5pp_1943
1944,5139,2,236,雨帰り,いえろ～ぜぶら,いえろ～ぜぶら ふぃな～れBOX,2011,,雨帰りいえろ～ぜぶらいえろ～ぜぶらふぃな～れbox,m5pp_1944
1945,6216,4,-1,Feels Like the First Time,Wanna-Bees,Another EP,1993,EEnglish,feelslikethefirsttimewannabeesanotherep,m5pp_1945
1946,5153,1,163,A Framer,The Bilge Festival,The Shrimp Boats,1996,English,aframerthebilgefestivaltheshrimpboats,m5pp_1946
1947,5156,,-1,Go Tell It in the Mountain,Jim Nabors,The Best Sounds of Christmas,1986,English,gotellitinthemountainjimnaborsthebestsoundsofchristmas,m5pp_1947
1948,5686,5,262,Caterpillar,Zegunder,"Intelligent Toys, Volume 2",2004,E nlish,caterpillarzegunderintelligenttoysvolume2,m5pp_1948
1949,2845,5,244,Runnin' Alone,Brand New Sin,Recipe for Disaster,2005,English,runninalonebrandnewsinrecipefordisaster,m5pp_1949
1950,5167,1,260,Two Thousand-One Years Ago,Jean-Luc Ponty,Life Enigma,2001,English,twothousandoneyearsagojeanlucpontylifeenigma,m5pp_1950
1951,2659,15,223,Without Love (There Is Nothing),Tom Jones,Reloaded: Greatest Hits,2003,English,withoutlovetomjonesreloadedgreatesthits,m5pp_1951
1952,9261,1,254,Music (Deep Dish edit),Madonna,Totally Hits 3,,English,musicmadonnatotallyhits3,m5pp_1952
1953,8558,4,160,Let the Little Girl Dance,Four Shadow,One Leg at a Time,1997,English,letthelittlegirldancefourshadowonelegatatime,m5pp_1953
1954,5175,10,176,Lonely Atmosphere,The Lemon Pipers,Golden Classics,,English,lonelyatmospherethelemonpipersgoldenclassics,m5pp_1954
1955,25,2,738,Fried Bananas,Dexter Gordon,Live at the Amsterdam Paradiso,1994,English,friedbananasdextergordonliveattheamsterdamparadiso,m5pp_1955
1956,5177,6,162,Smoke,Sarah Fimm,A Perfect Dream,2002,English,smokesarahfimmaperfectdream,m5pp_1956
1957,5180,5,167,Tak to chodí,Jaroslav Samson Lenk,Mé hodné písně,1992,Czech,taktochodíjaroslavsamsonlenkméhodnépísně,m5pp_1957
1958,5184,13,182,Two Kinds of Women,Rosco Gordon,Bootin': The Best of the Rpm Years,,English,twokindsofwomenroscogordonbootinthebestoftherpmyears,m5pp_1958
1959,3148,3,1114,Six Six Six,Tomas Bodin,Cinematograaf,2008,English,sixsixsixtomasbodincinematograaf,m5pp_1959
1960,3146,7,330,"Hungarian Rhapsody No. 16 in A minor, S. 244 ""Budapest Munkácsy-Festlichkeiten""",Franz Liszt,Complete Hungarian Rhapsodies (feat. piano: Michele Campanella),,English,hungarianrhapsodyno16inaminors244budapestmunkácsyfestlichkeitenfranzlisztcompletehungarianrhapsodies,m5pp_1960
1961,9900,14,156,Barbaric Episode,Jack Beaver,The Sidney Torch Archives 2,,English,barbaricepisodejackbeaverthesidneytorcharchives2,m5pp_1961
1962,5190,2,348,Traffalgar Square,Galleon,The All European Hero,2001,English,traffalgarsquaregalleonthealleuropeanhero,m5pp_1962
1963,5196,5,198,Love Among the Ruins,The Del Lords,"Right for Jerry, Volume 1",2013,English,loveamongtheruinsthedellordsrightforjerryvolume1,m5pp_1963
1964,5197,13,112,My Frank Soul,SoulEye,Adventure,,Engliish,myfranksoulsouleyeadventure,m5pp_1964
1965,1378,1,-1,Só Depende De Nós,Banda Magníficos,Magníficos,2000,,sódependedenósbandamagníficosmagníficos,m5pp_1965
1966,1588,7,182,Get to That,Dizzy Gillespie,Soul Time,1999,English,gettothatdizzygillespiesoultime,m5pp_1966
1967,4569,3,370,Rolling Stone,Sarasota Slim,Living In My Suitcase,,English,rollingstonesarasotaslimlivinginmysuitcase,m5pp_1967
1968,1369,27,184,My Man,Ella Fitzgerald and Her Famous Orchestra,The Chronological Classics: Ella Fitzgerald 1940-1941,1996,English,mymanellafitzgeraldandherfamousorchestrathechronologicalclassicsellafitzgerald19401941,m5pp_1968
1969,5206,3,299,When the Rainbow Comes,World Party,Goodbye Jumbo,1990,English,whentherainbowcomesworldpartygoodbyejumbo,m5pp_1969
1970,5208,10,233,Candy,The Magnetic Fields,"1994-07-29: Cat’s Cradle, Carrboro, NC, USA",,English,candythemagneticfields19940729cat’scradlecarrboroncusa,m5pp_1970
1971,5231,12,63,"Auf, schicke dich recht feierlich, Wq 249: Recitativ ""Wohin mein Auge blickt"" (Tenor)",Carl Philipp Emanuel Bach,Edition Bach Carl Philipp Emanuel,2004,German,aufschickedichrechtfeierlichwq249recitativwohinmeinaugeblicktcarlphilippemanuelbacheditionbachcarlphilippemanuel,m5pp_1971
1972,7757,1,218,J'aime pas l'art,DatAA,Trop laser EP,2006,English,jaimepaslartdataatroplaserep,m5pp_1972
1973,5227,2,323,Invisible,Jorn,Dio,2010,English,invisiblejorndio,m5pp_1973
1974,9304,2,250,FRIDAY’S FREE FAIR,TERRA ROSA,The Endless Basis,1999,Japanese,friday’sfreefairterrarosatheendlessbasis,m5pp_1974
1975,854,5,306,Sex (I'm A ...),Berlin,Retro Lunchbox: Squeeze the Cheeze,1997,English,sexberlinretrolunchboxsqueezethecheeze,m5pp_1975
1976,8988,18,258,The Hyn,Charlie Parker Quintet,The Complete Savoy & Dial Master Takes,2002,English,thehyncharlieparkerquintetthecompletesavoy&dialmastertakes,m5pp_1976
1977,5237,9,52,Yesterday Today (interlude),Sunny Hawkins,More of You,2007,English,yesterdaytodaysunnyhawkinsmoreofyou,m5pp_1977
1978,5238,9,278,Unto The Least Of These,Steve Bell,Simple Songs,,,untotheleastofthesestevebellsimplesongs,m5pp_1978
1979,7981,6,349,Blunted Vision,Marrk Finnie,State of Play 2,1998,,bluntedvisionmarrkfinniestateofplay2,m5pp_1979
1980,8920,5,210,Found a Cure,Ultra Naté,Totally Wicked!,,English,foundacureultranatétotallywicked,m5pp_1980
1981,6364,55,13,Casey Casem,[no artist],"The Very Best of Show Enhancers, Volumes 1–4",,English,caseycasemnoartisttheverybestofshowenhancersvolumes1–4,m5pp_1981
1982,5725,3,165,Croatian Polka Magic,Polka Quads,"Here Come the Polka Heroes, Volume 2",1999,English,croatianpolkamagicpolkaquadsherecomethepolkaheroesvolume2,m5pp_1982
1983,9629,3,609,Module 3,Alva Noto,Transform,2008,English,module3alvanototransform,m5pp_1983
1984,4264,4,272,School's Out,Demons & Wizards,Fiddler,,English,schoolsoutdemons&wizardsfiddler,m5pp_1984
1985,9264,9,179,Teenage Riot,The Ataris,Cinema Beer Buddy,2003,English,teenageriottheatariscinemabeerbuddy,m5pp_1985
1986,5260,11,297,What Cha Talkin',Count Basie,The Story of Impulse!,,English,whatchatalkincountbasiethestoryofimpulse,m5pp_1986
1987,3235,2,11,Get Master Sword,"永田権太, 若井淑, 峰岸透 & 近藤浩治",The Legend of Zelda: The Wind Waker,2003,English,getmastersword永田権太若井淑峰岸透&近藤浩治thelegendofzeldathewindwaker,m5pp_1987
1988,5277,11,243,Star at Night,Headless Chickens,Stunt Clown,1988,English,staratnightheadlesschickensstuntclown,m5pp_1988
1989,3653,6,348,Rose,Renato Zero,Voyeur,1989,Italian,roserenatozerovoyeur,m5pp_1989
1990,469,14,248,Die Blouberge,Randall Wicomb,Uiteindelik,,Afrikaans,diebloubergerandallwicombuiteindelik,m5pp_1990
1991,5281,48,30,Guinguette Waltz,Pierre-Jean Gidon,Cine Dancing,,English,guinguettewaltzpierrejeangidoncinedancing,m5pp_1991
1992,625,10,200,Bonecrusher,Phantom,The Best of the Rest,2000,Engilsh,bonecrusherphantomthebestoftherest,m5pp_1992
1993,5283,6,345,Hellfire Club,Panic,Epidemicc,1991,English,hellfireclubpanicepidemicc,m5pp_1993
1994,268,8,312,Dikhél Khelél,Taraf de Haïdouks & Kočani Orkestar,Band of Gypsies 2,2011,[Multiple languages],dikhélkheléltarafdehaïdouks&kočaniorkestarbandofgypsies2,m5pp_1994
1995,389,2,283,Romance Of Falling,Giant Sand,Ramp,2011,English,romanceoffallinggiantsandramp,m5pp_1995
1996,5285,3,170,You and Me Song,The Wannadies,Skellefteå,9198,ENGLLISH,youandmesongthewannadiesskellefteå,m5pp_1996
1997,5287,10,241,Act 1: Someone Else's Story,Björn Ulvaeus & Benny Andersson,Chess (1988-04-28 original Broadwway cast),,English,act1someoneelsesstorybjörnulvaeus&bennyanderssonchess,m5pp_1997
1998,5289,8,219,Geese,Rough Fields,Edge of the Firelight,2012,English,geeseroughfieldsedgeofthefirelight,m5pp_1998
1999,7552,1,148,Patton: Main Title,Jerry Goldsmith,Patton / Tora! Tora! Tora!,1997,English,pattonmaintitlejerrygoldsmithpattontoratoratora,m5pp_1999
2000,5298,2,28,Anfang,Class of Music,Class of Music February 2009,2009,German,anfangclassofmusicclassofmusicfebruary2009,m5pp_2000
2001,774,7,199,Don't Cheat in Our Hometown,Ricky Skaggs,Super Hits,1993,English,dontcheatinourhometownrickyskaggssuperhits,m5pp_2001
2002,9631,3,263,La flor de mi jardín,Tabú,Nada sin ti,2004,Spanish,laflordemijardíntabúnadasinti,m5pp_2002
2003,5305,10,153,El viaje astral,Autofans,Aplasta tus gafas de pasta,2007,Spanish,elviajeastralautofansaplastatusgafasdepasta,m5pp_2003
2004,5311,4,-1,バジャン“ナーラーヤナ・ハリ”,[unknown],インド／シャシャーンクのクラル,2008,[Multyipe languages],バジャン“ナーラーヤナ・ハリ”unknownインド／シャシャーンクのクラル,m5pp_2004
2005,5041,5,232,You Wish You Were Red,Trailer Trash Tracys,It's Real - A Seasonal Collection of Music 2011/12,,English,youwishyouwereredtrailertrashtracysitsrealaseasonalcollectionofmusic201112,m5pp_2005
2006,5315,5,-1,Caballo Loco,Inordem,Progreso,2006,Spanish,caballolocoinordemprogreso,m5pp_2006
2007,7620,17,222,冤家,張國榮,Four Seasons,2011,Chinese,冤家張國榮fourseasons,m5pp_2007
2008,7530,11,-1,Conversas Minadas,MMind Da Gap,Matéria Prima (disco 2),2008,Portuguese,conversasminadasmminddagapmatériaprima,m5pp_2008
2009,1489,2,-1,Get on My Camel (vocal mix by Major Boys) (feat. Charlotte),Paul Johnson,Get on My Camel,1999,English,getonmycamelpauljohnsongetonmycamel,m5pp_2009
2010,5318,10,746,Stanley's Visit to Kerkle Morrf,Khazad Doom,Encore,,English,stanleysvisittokerklemorrfkhazaddoomencore,m5pp_2010
2011,5319,3,196,Stompin’ at the Savoy,Benny Goodman,Bluebird Jazz Sampler,1993,English,stompin’atthesavoybennygoodmanbluebirdjazzsampler,m5pp_2011
2012,5321,8,258,Sparks of the Tempest,Kansas,Point of Know Return,,English,sparksofthetempestkansaspointofknowreturn,m5pp_2012
2013,5324,8,77,Beer or Nothing,Wormrot,Abuse,2010,English,beerornothingwormrotabuse,m5pp_2013
2014,5327,14,-1,Action In The Dusk,[unknown],개와 늑대의 시간,, Korean,actionintheduskunknown개와늑대의시간,m5pp_2014
2015,5332,2,191,愛の調べ,win a sheep free,with little songs,2004,Japanese,愛の調べwinasheepfreewithlittlesongs,m5pp_2015
2016,5346,7,265,Matthew 7,Alexander Scourby,King James Version Bible,,English,matthew7alexanderscourbykingjamesversionbible,m5pp_2016
2017,5493,9,243,Astronaut Farewell Blues,Decoder Ring,"They Blind the Stars, and the Wild Team",2009,English,astronautfarewellbluesdecoderringtheyblindthestarsandthewildteam,m5pp_2017
2018,5348,,211,Monk's Bread,The Latin Jazz Quintet,Latin Soul,1961,English,monksbreadthelatinjazzquintetlatinsoul,m5pp_2018
2019,5054,3,184,Quand j'serai KO,Alain Souchon,L'Essentiel,2004,French,quandjseraikoalainsouchonlessentiel,m5pp_2019
2020,5357,12,266,Walkin' in the Rain With the One I Love,Love Unlimited,Soul City,2011,English,walkinintherainwiththeoneiloveloveunlimitedsoulcity,m5pp_2020
2021,5362,3,490,"Concerto for Piano No. 17 in G major, K. 453 ""Second Ployer"": III. Allegretto & Finale. Presto",Wolfgang Amadeus Mozart,"Complete Works, Volume 2: Concertos",2005,English,concertoforpianono17ingmajork453secondployeriiiallegretto&finaleprestowolfgangamadeusmozartcompleteworksvolume2concertos,m5pp_2021
2022,2816,8,206,Against All Odds,Phil Collins,The Power of Love,,English,againstalloddsphilcollinsthepoweroflove,m5pp_2022
2023,6527,8,201,The Train,Steve Gibbons Band,Maintaining Radio Silence,1998,English,thetrainstevegibbonsbandmaintainingradiosilence,m5pp_2023
2024,2255,2,432,The Day of Wrath,Myriads,In Spheres Without Time,1999,English,thedayofwrathmyriadsinsphereswithouttime,m5pp_2024
2025,5371,11,244,Scottish Fantasy: Adagio cantabile,Max Bruch,"The Classical Album, Volume 1",1996,English,scottishfantasyadagiocantabilemaxbruchtheclassicalalbumvolume1,m5pp_2025
2026,5374,4,397,Down With Stars,Terronaut,Terronaut,2014,English,downwithstarsterronautterronaut,m5pp_2026
2027,5384,19,227,Komercja,Kabanos,Skarpetki muszą mieć wilgoć,2001,Polish,komercjakabanosskarpetkimusząmiećwilgoć,m5pp_2027
2028,5388,4,559,Cassiopeia,Carlos Marques,Sons e Sonhos,2006,Portuguese,cassiopeiacarlosmarquessonsesonhos,m5pp_2028
2029,1786,10,172,Børnene,Kari Bremnes,Mitt ville hjerte,1987,Danish,børnenekaribremnesmittvillehjerte,m5pp_2029
2030,5392,1,369,Sangue Puro,Les Georges Leningrad,Sangue Puro,2006,English,sanguepurolesgeorgesleningradsanguepuro,m5pp_2030
2031,225,10,98,Time for for Pepper,Black Sun Productions,The Impossibility of Silence,2006,English,timeforforpepperblacksunproductionstheimpossibilityofsilence,m5pp_2031
2032,5404,4,297,Nothing to Lose,Dimitri From Paris,SacrebKleu,1998,French,nothingtolosedimitrifromparissacrebkleu,m5pp_2032
2033,4692,3,277,Tonight,Camo & Krooked,Above & Beyond,2010,English,tonightcamo&krookedabove&beyond,m5pp_2033
2034,5409,18,260,Seduce Me,Filter,Christmas in Paris (Chilled Tunes for Relaxed X-Mas Days),2012,English,seducemefilterchristmasinparis,m5pp_2034
2035,5412,4,226,Will You Follow,The Tailor,The Salt,2010,English,willyoufollowthetailorthesalt,m5pp_2035
2036,24,7,240,À Tout À L'Heure,Bibio,Ministry of Sound: Chillout Sessions XVI,2013,English,àtoutàlheurebibioministryofsoundchilloutsessionsxvi,m5pp_2036
2037,5418,2,381,Jdarling,Ricky Peterson,"Acid Jazz, Volume 8",1997,English,jdarlingrickypetersonacidjazzvolume8,m5pp_2037
2038,5421,13,489,What About?!!!??! (Poetry mix),Kitta,Out of Perspective,1998,English,whataboutkittaoutofperspective,m5pp_2038
