Base_x,Base_y,Capacity_x,Capacity_y,Category_x,Category_y,Color_x,Color_y,Finish_x,Finish_y,Height_x,Height_y,Material_x,Material_y,Product Type_x,Product Type_y,Shape_x,Shape_y,Style_x,Style_y,brand_x,brand_y,cluster_id,description_x,description_y,id_org_x,id_org_y,title_x,title_y
"'Standard/Convection Oven', 'Standard/Convection Oven'","'(1) standard oven, (1) convection oven'",,,,,,,"'nsf', 'nsf'",'nsf',"'1075.00', '1075.00'",'1075.00 Pound(s)',"'battery', 'battery'",'battery',"'lp gas', 'burners', 'shelf 6 adjustable', 'burners', 'shelf 6 adjustable'","'burners', 'shelf 6 adjustable'","'restaurant range', 'restaurant'",,"'oven with battery', 'oven', 'flue riser with shelf stainless steel', 'front', 'oven with battery', 'oven', 'flue riser with shelf stainless steel', 'front', 'LP', 'NG'","'ultimate', 'restaurant', 'oven with battery', 'oven', 'flue riser with shelf stainless steel', 'front'","""Southbend""@en","""Southbend""",1071768,"""Ultimate Restaurant Range, NG gas, 60"", (4) pyromax burners, (1) 24"" charbroiler left, standing pilot, (1) standard oven with battery spark ignition, (1) convection oven with battery spark ignition, includes (4) racks total, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 301,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 60"", (4) pyromax burners, (1) 24"" charbroiler left, standing pilot, (1) standard oven with battery spark ignition, (1) convection oven with battery spark ignition, includes (4) racks total, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 301,000 BTU, CSA, NSF
"" ",6712429,3639642," ""Southbend 4607AD-2CL 60"" 4-Burner Gas Range with Charbroiler, NG""@en NG ""@en Charbroiler"," "" Southbend 4607AD-2CL Ultimate Restaurant Range ""Southbend | Culinary Depot"""
"'standard ovens', 'standard ovens', 'Standard Oven', 'Standard Oven'","'standard ovens', '(2) standard ovens'",'60 6',,,,'ultimate',,"'nsf', 'nsf'",'nsf',"'1075.00', '1075.00'",'1075.00 Pound(s)',"'battery', 'oven', 'battery', 'oven'","'battery', 'oven'","'standard grates', 'lp gas', 'standard grates'",'standard grates',"'restaurant', 'restaurant'",'restaurant',"'per', 'per', 'NG', 'LP'",'per',"""Southbend""@en","""Southbend""",1072689,"""Ultimate Restaurant Range, NG gas, 60"", (6) star/sauté burners, standard grates, (1) 24"" charbroiler right, standing pilot, (2) standard ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 352,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 60"", (6) star/sauté burners, standard grates, (1) 24"" charbroiler right, standing pilot, (2) standard ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 352,000 BTU, CSA, NSF
"" ",10384098,5383654," ""Southbend 4603DD-2CR 60"" 6-Burner Gas Range with Charbroiler, NG""@en NG ""@en Charbroiler"," "" Southbend 4603DD-2CR Ultimate Restaurant Range ""Southbend | Culinary Depot"""
,'legs with boxed crossrails','109 l','109 l',,,,'regaline sink 2','nsf','nsf','144.00',"'8""', '144.00 Pound(s)'",,,"'deep', 'open frame'",'open frame','12','12','compartment with left right hand drainboards',"'compartment with left right hand drainboards', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",1075478,"""Regaline Sink, 2-compartment, with left & right-hand drainboards, 20"" front-to-back x 16"" wide sink compartment, 12"" deep, with 8"" high splash, stainless steel open frame base, side crossrails, 36"" drainboards, 1"" adjustable feet, 18 gauge 304 series stainless steel, overall 27"" F/B x 109"" L/R, NSF""@en ","""
Regaline Sink, 2-compartment, with left & right-hand drainboards, 20"" front-to-back x 16""W sink compartment, 12"" deep, with 8""H backsplash, stainless steel open frame base, side crossrails, 36"" drainboards, 1"" adjustable feet, 18 gauge 304 series stainless steel, overall 27"" F/B x 109"" L/R, NSF
"" ",7946740,9858750," ""Advance Tabco 9-2-36-36RL 109"" 2-Compartment Sink w/ 16""L x 20""W Bowl, 12"" Deep""@en Bowl Deep ""@en"," "" Advance Tabco 9-2-36-36RL Regaline Sink ""Advance | Culinary Depot"""
,'legs with boxed crossrails','125 l','125 l','12',,,,'nsf','nsf','314.00',"'314.00 Pound(s)', '8""'",,,"'deep', 'open frame'",'open frame',,,"'compartment with left right hand drainboards', 'back'","'compartment with left right hand drainboards', 'back', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",1076616,"""Regaline Sink, 2-compartment, with left & right-hand drainboards, 24"" front-to-back x 24"" wide sink compartment, 12"" deep, with 8"" high splash, stainless steel open frame base, side crossrails, 36"" drainboards, 1"" adjustable feet, 18 gauge 304 series stainless steel, overall 31"" F/B x 125"" L/R, NSF""@en ","""
Regaline Sink, 2-compartment, with left & right-hand drainboards, 24"" front-to-back x 24""W sink compartment, 12"" deep, with 8""H backsplash, stainless steel open frame base, side crossrails, 36"" drainboards, 1"" adjustable feet, 18 gauge 304 series stainless steel, overall 31"" F/B x 125"" L/R, NSF
"" ",3747355,7944741," ""Advance Tabco 9-42-48-36RL 125"" 2-Compartment Sink w/ 24""L x 24""W Bowl, 12"" Deep""@en Bowl Deep ""@en"," "" Advance Tabco 9-42-48-36RL Regaline Sink ""Advance | Culinary Depot"""
"'Standard/Convection Oven', 'Standard/Convection Oven'","'(1) standard oven, (1) convection oven'",,,,,'restaurant range','ultimate',"'nsf', 'nsf'",'nsf',"'1075.00', '1075.00'",'1075.00 Pound(s)',"'battery', 'battery', 'battery', 'battery'","'battery', 'battery'","'lp gas', 'burners', 'shelf 6 adjustable', 'burners', 'shelf 6 adjustable'","'burners', 'shelf 6 adjustable'",'restaurant',,"'oven', 'oven', 'flue riser with shelf stainless steel', 'front', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front', 'LP', 'NG'","'restaurant', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front'","""Southbend""@en","""Southbend""",1081158,"""Ultimate Restaurant Range, LP gas, 60"", (4) pyromax burners, (1) 24"" griddle left, standing pilot, (1) standard oven with battery spark ignition, (1) convection oven with battery spark ignition, includes (4) racks total, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 285,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 60"", (4) pyromax burners, (1) 24"" griddle left, standing pilot, (1) standard oven with battery spark ignition, (1) convection oven with battery spark ignition, includes (4) racks total, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 285,000 BTU, CSA, NSF
"" ",5974401,524337," ""Southbend 4607AD-2TL 60"" 4-Burner Gas Range with Griddle, LP""@en LP ""@en Griddle"," "" Southbend 4607AD-2TL Ultimate Restaurant Range ""Southbend | Culinary Depot"""
"'Standard/Convection Oven', 'Standard/Convection Oven'","'(1) standard oven, (1) convection oven'",'60 3',,,,,,"'legs', 'nsf', 'legs', 'nsf'","'legs', 'nsf'","'1075.00', '1075.00'",'1075.00 Pound(s)',"'saut burners', 'battery', 'battery', 'battery', 'battery'","'battery', 'battery'","'lp gas', 'burners rear', 'shelf 6 adjustable', 'burners rear', 'shelf 6 adjustable'","'burners rear', 'shelf 6 adjustable'","'restaurant range', 'restaurant'",,"'oven', 'oven', 'flue riser with shelf stainless steel', 'front', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front', 'LP', 'NG'","'restaurant', 'burners', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front'","""Southbend""@en","""Southbend""",1081437,"""Ultimate Restaurant Range, NG gas, 60"", (3) star/sauté burners front left, (2) pyromax burners rear left, (4) star/sauté burners right, standing pilot, (1) standard oven with battery spark ignition, (1) convection oven with battery spark ignition, includes (4) racks total, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 388,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 60"", (3) star/sauté burners front left, (2) pyromax burners rear left, (4) star/sauté burners right, standing pilot, (1) standard oven with battery spark ignition, (1) convection oven with battery spark ignition, includes (4) racks total, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 388,000 BTU, CSA, NSF
"" ",15373330,586541," ""Southbend 4603AD-6L 60"" 9-Burner Gas Range, NG""@en Range NG ""@en"," "" Southbend 4603AD-6L Ultimate Restaurant Range ""Southbend | Culinary Depot"""
,,"'10 7kw', '240 60 3ph', '6'","'10 7kw', '240 60 3ph'",,,,,,,"'12 x 20', '231.00', '30'","'12 x 20', '231.00 Pound(s)'",,,'mechanical timer',"'n hold boilerless', 'convection steamer countertop electric', 'mechanical timer'",,,'deep pans vacuum cooking','deep pans vacuum cooking',"""Accutemp""@en","""AccuTemp""",1087218,"""Steam'N'Hold™ Convection Steamer, countertop, electric, holds (6) 12""x 20""x 2-1/2"" deep pans, vacuum cooking, manual mechanical timer controls, NO water or drain connections required, 10.7kw, 240/60/3ph, 5' cord & NEMA L15-30P, ENERGY STAR®""@en ","""
Steam'N'Hold Boilerless Convection Steamer, countertop, electric, holds (6) 12""x 20""x 2-1/2"" deep pans, vacuum cooking, manual mechanical timer controls, NO water or drain connections required, 10.7kw, 240/60/3ph, 5' cord & NEMA L15-30P, ENERGY STAR
"" ",17414752,1328465," ""Accutemp S62403D110 Electric Countertop Steamer w/ (6) Full Size Pan Capacity, 240v/3ph""@en 240v/3ph ""@en Capacity"," "" AccuTemp S62403D110 Steam'N'Hold Boilerless Convection Steamer ""AccuTemp | Culinary Depot"""
,,'6',,,,'connected evolution boilerless',,,,"'12 x 20', '30', '231.00'","'12 x 20', '231.00 Pound(s)'",,,'energy star','energy star',,,"'convection steamer featuring', 'electric holds 6', 'deep pans digital'","'ship connected', 'convection steamer featuring', 'electric holds 6', 'deep pans digital'","""Accutemp""@en","""AccuTemp""",1087257,"""Connected Evolution™ Boilerless, Convection Steamer featuring Steam Vector Technology, counter top, electric, holds (6) 12""x 20""x 2-1/2"" deep pans, Digital Controls, water and drain connection needs plumbed, warranty NOT voided by water quality, NO water filtration required, 14kw, 480/60/3ph, 5' cord & NEMA L16-20P, ENERGY STAR®""@en ","""
(QUICK SHIP) Connected Evolution Boilerless, Convection Steamer featuring Steam Vector Technology, counter top, electric, holds (6) 12""x 20""x 2-1/2"" deep pans, Digital Controls, water and drain connection needs plumbed, warranty NOT voided by water quality, NO water filtration required, 14kw, 480/60/3ph, 5' cord & NEMA L16-20P, ENERGY STAR
"" ",10064654,7812839," ""Accutemp E64803E140 Electric Countertop Steamer w/ (6) Full Size Pan Capacity, 480v/3ph""@en Capacity 480v/3ph ""@en"," "" AccuTemp E64803E140 Connected Evolution Boilerless ""AccuTemp | Culinary Depot"""
"'standard ovens', 'Standard Oven'","'standard ovens', '(2) standard ovens'",,,,,,,'nsf','nsf','1075.00','1075.00 Pound(s)',"'battery', 'oven'","'battery', 'oven'",'left thermostatic','left thermostatic',,'restaurant',"'per', 'NG'",'per',"""Southbend""@en","""Southbend""",1090435,"""Ultimate Restaurant Range, NG gas, 60"", (6) star/sauté burners, (1) 24"" griddle left, thermostatic controls, standing pilot, (2) standard ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 336,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 60"", (6) star/sauté burners, (1) 24"" griddle left, thermostatic controls, standing pilot, (2) standard ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 336,000 BTU, CSA, NSF
"" ",15884764,16850521," ""Southbend 4603DD-2TL 60"" 6-Burner Gas Range with Griddle, NG""@en Griddle NG ""@en"," "" Southbend 4603DD-2TL Ultimate Restaurant Range ""Southbend | Culinary Depot"""
"'star saut', 'Space Saver Oven', 'Space Saver Oven'",'(2) standard / space saver ovens',,,,,'rear','ultimate',"'nsf', 'nsf'",'nsf',"'735.00', '735.00'",'735.00 Pound(s)',,,"'standard grates', 'lp gas', 'standard grates'",'standard grates',"'restaurant', 'oven', 'restaurant range', 'oven'",'oven',"'NG', 'LP'","'restaurant', 'rear'","""Southbend""@en","""Southbend""",1091473,"""Ultimate Restaurant Range, NG gas, 48"", (2) star/sauté front, (2) non-clog burners rear, standard grates, (1) 24"" charbroiler left, standing pilot, (2) space saver ovens with battery spark ignition, (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 286,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 48"", (2) star/sauté front, (2) non-clog burners rear, standard grates, (1) 24"" charbroiler left, standing pilot, (2) space saver ovens with battery spark ignition, (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 286,000 BTU, CSA, NSF
"" ",16845467,12497832," ""Southbend 4484EE-2CL 48"" 4-Burner Gas Range with Charbroiler, NG""@en NG ""@en Charbroiler"," "" Southbend 4484EE-2CL Ultimate Restaurant Range ""Southbend | Culinary Depot"""
"'Standard/Convection Oven', 'Standard/Convection Oven'","'(1) standard oven, (1) convection oven'",'60 6',,,,'restaurant range','ultimate',"'nsf', 'nsf'",'nsf',"'1075.00', '1075.00'",'1075.00 Pound(s)',"'battery', 'battery', 'battery', 'battery'","'battery', 'battery'","'wavy grates', 'shelf 6 adjustable', 'lp gas', 'wavy grates', 'shelf 6 adjustable'","'wavy grates', 'shelf 6 adjustable'",'restaurant range',,"'oven', 'oven', 'flue riser with shelf stainless steel', 'front', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front', 'NG', 'LP'","'restaurant', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front'","""Southbend""@en","""Southbend""",1091717,"""Ultimate Restaurant Range, LP gas, 60"", (6) non-clog burners, wavy grates, raised griddle/broiler, standing pilot, (1) standard oven with battery spark ignition, (1) convection oven with battery spark ignition, includes (4) racks total, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 272,500 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 60"", (6) non-clog burners, wavy grates, raised griddle/broiler, standing pilot, (1) standard oven with battery spark ignition, (1) convection oven with battery spark ignition, includes (4) racks total, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 272,500 BTU, CSA, NSF
"" ",8555590,3701533," ""Southbend 4602AD-2RR 60"" 6-Burner Gas Range with Griddle & Broiler, LP""@en LP ""@en Broiler"," "" Southbend 4602AD-2RR Ultimate Restaurant Range ""Southbend | Culinary Depot"""
,,,,,,"'stainless steel', 'cetlus'",'stainless steel',,,,'169.00 Pound(s)','stainless steel','stainless steel',"'deluxe series', 'condenser equipped', 'drawers with'","'deluxe series', 'top', 'drawers with', 'cetlus'",,,"'undercounter refrigerator', 'top', 'self contained rear mount', 'refrigeration system'","'undercounter refrigerator', 'abs door', 'drawers', 'flat top, stainless steel'","""Turbo Air""@en","""Turbo Air""",1092144,"""Super Deluxe Series Undercounter Refrigerator, one-section, 7 cu. ft., self-cleaning condenser equipped, stainless steel top, front & sides, (2) stainless steel drawers with recessed handles, stainless steel interior with ABS door liner, 4"" casters, self-contained rear mount refrigeration system, 1/4 HP, 115v/60/1, 6.6 amps, NEMA 5-15P, cETLus, NSF 7""@en ","""
Super Deluxe Series Undercounter Refrigerator, one-section, 7 cu. ft., stainless steel top, front & sides, (2) stainless steel drawers with recessed handles, stainless steel interior with white ABS door liner, 4"" casters, self-contained rear mount refrigeration system, 1/4 HP, 115v/60/1, 5.3 amps, NEMA 5-15P, cETLus, NSF
"" ",6378509,2973050," ""Turbo Air TUR-28SD-D2 7-cu ft Undercounter Refrigerator w/ (1) Section & (2) Drawers, 115v""@en 115v ""@en Drawers"," "" Turbo Air TUR-28SD-D2 Super Deluxe Series Undercounter Refrigerator ""Turbo - | Culinary Depot"""
,'legs with boxed crossrails',"'20 wide', '115 l'",'115 l',,,,,'nsf','nsf','220.00',"'220.00 Pound(s)', '8""'",'12',,"'open frame', 'gauge'","'open frame', 'gauge'",,,"'compartment with left right hand drainboards', 'deep with'","'compartment with left right hand drainboards', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",1092433,"""Regaline Sink, 3-compartment, with left & right-hand drainboards, 20"" front-to-back x 20"" wide sink compartments, 12"" deep, with 8"" high splash, stainless steel open frame base, side crossrails, 24"" drainboards, 1"" adjustable bullet feet, 16 gauge 304 series stainless steel, overall 27"" F/B x 115"" L/R, NSF""@en ","""
Regaline Sink, 3-compartment, with left & right-hand drainboards, 20"" front-to-back x 20""W sink compartments, 12"" deep, with 8""H backsplash, stainless steel open frame base, side crossrails, 24"" drainboards, 1"" adjustable bullet feet, 16 gauge 304 series stainless steel, overall 27"" F/B x 115"" L/R, NSF
"" ",119631,4109364," ""Advance Tabco 93-23-60-24RL 115"" 3-Compartment Sink w/ 20""L x 20""W Bowl, 12"" Deep""@en Deep ""@en Bowl"," "" Advance Tabco 93-23-60-24RL Regaline Sink ""Advance | Culinary Depot"""
,,'6',,,,,,,,"'231.00', '30'","'12 x 20', '231.00 Pound(s)'",,,'not voided','not voided',,,'deep pans digital',"'electric holds 6', 'deep pans digital'","""Accutemp""@en","""AccuTemp""",1093449,"""Connectionless Evolution™ Boilerless, Convection Steamer featuring Steam Vector Technology, counter top, electric, holds (6) 12""x 20""x 2-1/2"" deep pans, Digital Controls, NO water and drain connection required, warranty NOT voided by water quality, NO water filtration required, 6kw, 240/60/1ph, 5' cord & NEMA L6-30P, ENERGY STAR®""@en ","""
(QUICK SHIP) Connectionless Evolution Boilerless, Convection Steamer featuring Steam Vector Technology, counter top, electric, holds (6) 12""x 20""x 2-1/2"" deep pans, Digital Controls, NO water and drain connection required, warranty NOT voided by water quality, NO water filtration required, 6kw, 240/60/1ph, 5' cord & NEMA L6-30P, ENERGY STAR
"" ",6371695,6724235," ""Accutemp E62401D060 Electric Countertop Steamer w/ (6) Full Size Pan Capacity, 240v/1ph""@en 240v/1ph ""@en Capacity"," "" AccuTemp E62401D060 Connectionless Evolution Boilerless ""AccuTemp | Culinary Depot"""
,'legs with side crossrails','66 l','66 l',,,,'regaline sink 1','nsf','nsf','95.00',"'8""', '95.00 Pound(s)'",,,"'deep', 'open frame', 'gauge'","'open frame', 'gauge'",'12','12','compartment with left right hand drainboards',"'compartment with left right hand drainboards', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",1095668,"""Regaline Sink, 1-compartment, with left & right-hand drainboards, 20"" front-to-back x 16"" wide sink compartment, 12"" deep, with 8"" high splash, stainless steel open frame base, side crossrails, 24"" drainboards, 16 gauge 304 series stainless steel, 1"" adjustable bullet feet, overall 27"" F/B x 66"" L/R, NSF""@en ","""
Regaline Sink, 1-compartment, with left & right-hand drainboards, 20"" front-to-back x 16""W sink compartment, 12"" deep, with 8""H backsplash, stainless steel open frame base, side crossrails, 24"" drainboards, 16 gauge 304 series stainless steel, 1"" adjustable bullet feet, overall 27"" F/B x 66"" L/R, NSF
"" ",2979002,9577382," ""Advance Tabco 93-1-24-24RL 66"" 1-Compartment Sink w/ 16""L x 20""W Bowl, 12"" Deep""@en Bowl Deep ""@en"," "" Advance Tabco 93-1-24-24RL Regaline Sink ""Advance | Culinary Depot"""
"'convection ovens', 'convection ovens', 'Convection Oven', 'Convection Oven'","'convection ovens', '(2) convection ovens'",'60 3',,'front','front',"'restaurant range', 'per oven', 'per oven'","'ultimate', 'per oven'","'nsf', 'nsf'",'nsf',"'1075.00', '1075.00'",'1075.00 Pound(s)',"'pyromax burners', 'battery', 'stainless steel', 'front', 'pyromax burners', 'battery', 'stainless steel'","'pyromax burners', 'battery', 'stainless steel'","'rear', 'shelf 6 adjustable', 'lp gas', 'rear', 'shelf 6 adjustable'","'rear', 'shelf 6 adjustable'",,,"'NG', 'LP'",'restaurant',"""Southbend""@en","""Southbend""",1095733,"""Ultimate Restaurant Range, NG gas, 60"", (3) non-clog burners front, (2) pyromax burners rear, (1) 24"" charbroiler right, standing pilot, (2) convection ovens with battery spark ignition, includes (3) racks per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 307,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 60"", (3) non-clog burners front, (2) pyromax burners rear, (1) 24"" charbroiler right, standing pilot, (2) convection ovens with battery spark ignition, includes (3) racks per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 307,000 BTU, CSA, NSF
"" ",15777931,14644604," ""Southbend 4605AA-2CR 60"" 5-Burner Gas Range with Charbroiler, NG""@en NG ""@en Charbroiler"," "" Southbend 4605AA-2CR Ultimate Restaurant Range ""Southbend | Culinary Depot"""
,'legs with side crossrails','58 l','58 l',,,,'12','nsf','nsf',"'20 front', '90.00'","'20 front', '90.00 Pound(s)', '8""'",,,"'deep', 'open frame', 'gauge'","'open frame', 'gauge'",'12',,'compartment with right hand drainboard',"'compartment with right hand drainboard', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",1102540,"""Regaline Sink, 1-compartment, with right-hand drainboard, 20"" front-to-back x 16"" wide sink compartment, 12"" deep, with 8"" high splash, stainless steel open frame base, side crossrails, 36"" drainboard, 1"" adjustable bullet feet, 16 gauge 304 series stainless steel, overall 27"" F/B x 58"" L/R, NSF""@en ","""
Regaline Sink, 1-compartment, with right-hand drainboard, 20"" front-to-back x 16""W sink compartment, 12"" deep, with 8""H backsplash, stainless steel open frame base, side crossrails, 36"" drainboard, 1"" adjustable bullet feet, 16 gauge 304 series stainless steel, overall 27"" F/B x 58"" L/R, NSF
"" ",6199736,14589198," ""Advance Tabco 93-1-24-36R 58"" 1-Compartment Sink w/ 16""L x 20""W Bowl, 12"" Deep""@en Bowl Deep ""@en"," "" Advance Tabco 93-1-24-36R Regaline Sink ""Advance | Culinary Depot"""
,,,'18 pan',"'two', 'compartment insulated'",,"'super deluxe sandwich salad unit mega top', 'wire shelving'",,"'self contained rear', 'nsf'","'two', 'nsf'",'264.00','264.00 Pound(s)',"'stainless steel', 'stainless steel'","'stainless steel', 'stainless steel'","'top', 'pan cover'","'deluxe sandwich salad unit mega', 'top'",,,"'mounted', 'refrigeration system', 'Mega Top'","'top', 'self contained rear', 'mounted', 'refrigeration system', 'doors'","""Turbo Air""@en","""Turbo Air""",1104589,"""Super Deluxe Sandwich/Salad Unit, Mega Top, two-section, 15 cu. ft., stainless steel top with 18-pan opening, (2) stainless steel doors with recessed handles, stainless steel interior & exterior, ABS door liner, (2) stainless steel wire shelving, cold air compartment, insulated pan cover, cutting board side rail, hot gas condensate system, 4"" casters, self-contained rear mounted refrigeration system, 1/3 HP, 115v/60/1, 6.5 amps, cord with NEMA 5-15P, NSF 7, cETLus""@en ","""
Super Deluxe Sandwich/Salad Unit, Mega Top, two-section, 15 cu. ft., stainless steel top with 18-pan opening, (2) stainless steel doors with recessed handles, stainless steel interior & exterior, ABS door liner, (2) stainless steel wire shelving, 4"" casters, self-contained rear mounted refrigeration system, 1/3 HP, 115v/60/1, 6.5 amps, cord with NEMA 5-15P, NSF 7, cETLus
"" ",305622,16613147," ""Turbo Air TST-48SD-18 48"" Sandwich/Salad Prep Table w/ Refrigerated Base, 115v""@en 115v ""@en Base"," "" Turbo Air TST-48SD-18 Super Deluxe Sandwich/Salad Unit ""Turbo - | Culinary Depot"""
,,'6',,,,,'ship connected evolution boilerless',,,"'12 x 20', '30', '231.00'","'12 x 20', '231.00 Pound(s)'",,,,,,,'deep pans digital',"'convection steamer featuring', 'electric holds 6', 'deep pans digital'","""Accutemp""@en","""AccuTemp""",1108597,"""Connected Evolution™ Boilerless, Convection Steamer featuring Steam Vector Technology, counter top, electric, holds (6) 12""x 20""x 2-1/2"" deep pans, Digital Controls, water and drain connection needs plumbed, warranty NOT voided by water quality, NO water filtration required, 10kw, 208/60/3ph, 5' cord & NEMA L15-30P, ENERGY STAR®""@en ","""
(QUICK SHIP) Connected Evolution Boilerless, Convection Steamer featuring Steam Vector Technology, counter top, electric, holds (6) 12""x 20""x 2-1/2"" deep pans, Digital Controls, water and drain connection needs plumbed, warranty NOT voided by water quality, NO water filtration required, 10kw, 208/60/3ph, 5' cord & NEMA L15-30P, ENERGY STAR
"" ",15767182,15381067," ""Accutemp E62083E100 Electric Countertop Steamer w/ (6) Full Size Pan Capacity, 208v/3ph""@en Capacity 208v/3ph ""@en"," "" AccuTemp E62083E100 Connected Evolution Boilerless ""AccuTemp | Culinary Depot"""
,,,,'ansi','ansi',,,,,'96 pr',"'96 pr', '1005.00 Pound(s)'",'display','display',"'96 decorator base galvanized steel', 'ecosmart culus'","'96 decorator base galvanized steel', 'ecosmart culus'",,,"'deep 7 1', 'deep pans ty2'","'deep 7 1', 'deep pans ty2'","""Alto Shaam""@en","""Alto-Shaam""",1109067,"""Halo Heat® Hot Deli Display System, self-service, (7) full size 2-1/2"" deep & (7) 1/3 size x 2-1/2"" deep pans, TY2-96/PR display case mounted on a low-profile 96"" decorator base, galvanized steel front panel, stainless steel exterior, EcoSmart®, cULus, UL-EPH, ANSI/NSF 4, CE, IP X3, TUV NORD, EAC, 120/208-240v/50/60/1ph""@en ","""
Halo Heat Hot Deli Display System, self-service, (7) full size 2-1/2"" deep & (7) 1/3 size x 2-1/2"" deep pans, TY2-96/PR display case mounted on a low-profile 96"" decorator base, galvanized steel front panel, stainless steel exterior, EcoSmart, cULus, UL EPH, ANSI/NSF 4, CE, IP X3, TUV NORD, EAC
"" ",10672409,5034560," ""Alto Shaam TY2SYS-96/PR-SS Self Serve Hot Deli Display w/ TY2-96/PR Case, Stainless""@en Case Stainless ""@en"," "" Alto-Shaam TY2SYS-96/PR-SS Halo Heat Hot Deli Display System ""Alto-Shaam | Culinary Depot"""
,'legs with boxed crossrails','95 l','95 l',,,,,'nsf','nsf',"'20 front', '220.00'","'20 front', '220.00 Pound(s)', '8""'",,,"'open frame', 'gauge'","'open frame', 'gauge'",,,"'compartment with left hand drainboard', 'deep with'","'compartment with left hand drainboard', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",1111215,"""Regaline Sink, 3-compartment, with left-hand drainboard, 20"" front-to-back x 16"" wide sink compartments, 12"" deep, with 8"" high splash, stainless steel open frame base, side crossrails, 36"" drainboard, 1"" adjustable bullet feet, 16 gauge 304 series stainless steel, overall 27"" F/B x 95"" L/R, NSF""@en ","""
Regaline Sink, 3-compartment, with left-hand drainboard, 20"" front-to-back x 16""W sink compartments, 12"" deep, with 8""H backsplash, stainless steel open frame base, side crossrails, 36"" drainboard, 1"" adjustable bullet feet, 16 gauge 304 series stainless steel, overall 27"" F/B x 95"" L/R, NSF
"" ",8078701,7015895," ""Advance Tabco 93-3-54-36L 95"" 3-Compartment Sink w/ 16""L x 20""W Bowl, 12"" Deep""@en Bowl Deep ""@en"," "" Advance Tabco 93-3-54-36L Regaline Sink ""Advance | Culinary Depot"""
,,'10.5',,'Drink Dispensers',,'Coffee Beige',,,,'29.27',,'insulated plastic','insulated plastic',,,,,'Insulated',,"""Cambro""@en","""Cambro""",1111227,"""Ultra Camtainer Beverage Carrier, insulated plastic, 10-1/2 gallon capacity, coffee beige, NSF approved""@en ","""
Ultra Camtainer Beverage Carrier, insulated plastic, 10-1/2 gallon capacity, coffee beige, NSF approved
"" ",660620,11694991," ""Cambro UC1000157 10-1/2-gal Ultra Camtainer Beverage Carrier - Insulated, Coffee Beige""@en Beige ""@en Insulated"," "" Cambro UC1000157 10 Gallon Coffee Beige Ultra Camtainer Beverage Carrier - 25.75"" H x 16.25"" W 20.5"" D ""Cambro | Culinary Depot"""
