m4_id,m4_cid,m4_number,m4_length,m4_title,m4_artist,m4_year,m4_language,m4_filtering_attr,m2_id
1932,5054,3,3m 4sec,003-Quand j'serai jKO,Alain Souchon,,Fre.,003quandjseraijkoalainsouchonlessentiel,m4_1932
1933,5059,7,1m 51sec,007-Karen Said,The Arms of Someone New,,Eng.,007karensaidthearmsofsomeonenewsusansleepwalking,m4_1933
1934,5061,40,0m 39sec,040-Crime-Comedy: Atmospheric Blues,Frank Loef,,Eng.,040crimecomedyatmosphericbluesfrankloefmmesuspense&eerie,m4_1934
1935,5065,8,7m 43sec,008-Sapho,Pierre Desproges,,Fre.,008saphopierredesprogeslesrequisitoiresdutribunaldesflagrantsdeliresvolii,m4_1935
1936,2785,6,4m 29sec,006-Chicken C,kAhkmed,,Eng.,006chickenckahkmedchicxulub,m4_1936
1937,5070,3,3m 31sec,003-Smarter Than You,Te Dylans,,Eng.,003smarterthanyoutedylansdeafeningdivinitieswithauralaffinities,m4_1937
1938,9697,B1,2m 24sec,0B1-Suck My Lekft One,Bikini Kill,,Eng.,0b1suckmylekftonebikinikillbikinikill,m4_1938
1939,5082,5,3m 7sec,005-Glorious,Parachute Band,,Eng.,005gloriousparachutebandglorious,m4_1939
1940,3863,4,unknown,004-A Definitive Biography,Common Rotation,,Eng.,004adefinitivebiographycommonrotationliveatthebitterendvolii,m4_1940
1941,5089,19,3m 19sec,"019-Theme From New York, New York",Peixoto Cauby,,Por.,019themefromnewyorknewyorkpeixotocaubyoessencialde,m4_1941
1942,999,9,unknown,009-  , ,,Rus.,009,m4_1942
1943,5100,12,0m 24sec,012-Narration 4,Johnny Cash,,Eng.,012narration4johnnycashthecompletecolumbiaalbumcollection,m4_1943
1944,7888,2,unknown,002-Bullet Through Me (instrumental),C.R.A.C.,,Eng.,002bulletthroughme,m4_1944
1945,2732,5,1m 51sec,005-Scorched Earth (a),Frank Ricotti & Gary Kettel,,Eng.,005scorchedearth,m4_1945
1946,5106,6,3m 4sec,006-Fup eller fakta,ent Werther & Gustav Wnickler,,unknown,006fupellerfaktaentwerther&gustavwnicklerthecollection,m4_1946
1947,5110,8,6m 14sec,008-Sundown,Son House,,Eng.,008sundownsonhousetheoriginaldeltablues,m4_1947
1948,5117,B4,5m 15sec,0B4-Only You,Mikhael Paskalev,,Eng,0b4onlyyoumikhaelpaskalevwhatslifewithoutlosers,m4_1948
1949,7993,24,0m 9sec,024-,,,Jap.,024#tv,m4_1949
1950,9669,13,4m 51sec,0133-2012,,,Rus.,01332012#f5,m4_1950
1951,5125,4,2m 39sec,004-The Devil Made Me Do That,Buck Owens and His Buckaroos,,Eng.,004thedevilmademedothatbuckowensandhisbuckaroosbridgeovertroubbledwater,m4_1951
1952,8259,2,,002-Magic Lady,Gene Harris,,Eng.,002magicladygeneharrisalleycats,m4_1952
1953,2104,5,unknown,005-Ne dis rien,Kaolin,,Fre.,005nedisrienkaolin20030613montluconfrance,m4_1953
1954,3142,13,5m 18sec,013-Your Bedtime Story Is Scaring Everyone, Irn Flames,,Eng.,013yourbedtimestoryisscaringeveryoneirnflamescomeclarity,m4_1954
1955,5136,3,unknown,003-Pauvre Rimbaud,Bernard Lavilliers,,Fre.,003pauvrerimbaudbernardlavillierslesfeuxdartifice,m4_1955
1956,5137,5,3m 56sec,005-Need Your Love So Bad,Fleetwood Mac,,Eng.,005needyourlovesobadfleetwoodmacgreatesthits,m4_1956
1957,5145,23,4m 28sec,"Johannes-Passion, BWV 245: Teil II. No. 23 ""Die Juden aber schrieen"" (Evangelista, Chorus, Pilatus)",Johann Sebastian Bach,,Ger.,johannespassionbwv245teiliino23diejudenaberschrieen,m4_1957
1958,5146,22,1m 32sec,"022-Die Winterrreise, D.911: Mut",Franz Schubert,,Eng.,022diewinterrreised911mutfranzschubertthesymphonieschambermusicpianoworkslieder,m4_1958
1959,7377,10,4m 49sec,010-Medias negras, Joaquin Sabina,,Spa.,010mediasnegrasjoaquinsabinapunto,m4_1959
1960,617,10,2m 52sec,010-Sur Le Chemin,Dani Llamas,,Eng.,010surlechemindanillamasspeakingthrutheothers,m4_1960
1961,5967,2,unknown,002-Demon Breath,Voice of Hate,,Eng.,002demonbreathvoiceofhatehandlingofflesh,m4_1961
1962,5030,1,3m 32sec,001-Jean-Francois de Nantes,Tonnerre de Brest,,Fre.,001jeanfrancoisdenantestonnerredebrestlesplusbeauxchantsdemarins,m4_1962
1963,5155,3,3m 50sec,003-Azul,Natalia Clavier,,Spa.,003azulnataliaclaviernectar,m4_1963
1964,9366,10,3m 34sec,"010-Requiem in D minor, K. 626 (Levin completion): IVa. Offertorium: ""Domine Jesu""",Wolfgang Amadeus Mozart,,Egn.,010requiemindminork626,m4_1964
1965,5160,10,unknown,010-Santos que yo te pinte,Los Planetas,,Spa.,010santosqueyotepintelosplanetasactual2001,m4_1965
1966,4244,2,8m 19sec,002-Chapter 7: The Dream Master,Don Miguel Ruiz,,Eng.,002chapter7thedreammasterdonmiguelruizthemasteryoflove,m4_1966
1967,3682,5,2m 28sec,"005-In stanga tin icoana, cu dreapta imi fac cruce",Polina Manoila,,Rom.,005instangatinicoanacudreaptaimifaccrucepolinamanoilacolindepentrusufleteromanesti,m4_1967
1968,8085,1,4m 54sec,001-I Want to Live,Josh Gracin,,Eng.,001iwanttolivejoshgracinjoshgracin,m4_1968
1969,5784,4,4m 12sec,004-You're the Heart of Me,Kathy Troccoli,,Eng.,004youretheheartofmekathytroccoligreatsthits,m4_1969
1970,5171,2,1m 30sec,002-IVEBEENCANCELLED,IVEBEENSHOT,,Eng.,002ivebeencancelledivebeenshotdoza,m4_1970
1971,5179,20,3m 35sec,-Tahdon rakatella s.,Pelle Miljoona & 1980,,Fin.,tahdonrakatellaspellemiljoona&198080luvunhuiput120hittiavuosilta19801981,m4_1971
1972,1858,5,3m 27sec,005-Sambatucada_(Every_Part_of_Me),Gaudino Da Costa feat. Gemma J,,Eng.,005sambatucada,m4_1972
1973,5187,9,5m 16sec,"009-One More Time, One More Chance",Smooth Ace,,Jap.,009onemoretimeonemorechancesmoothaceotherpeoplessongs,m4_1973
1974,5194,7,6m 15sec,007ScreeninMotion,unk.,,Eng.,007screeninmotionunksickmusic,m4_1974
1975,5195,5,17m 6sec,005-Still a Fool,The  Groundhogs,,Eng.,005stillafoolthegroundhogsbbcradiooneliveinconcert,m4_1975
1976,5200,7,3m 19sec,007-mOBSCENE (Sauerkraut remix),Marilyn Manson,,Eng.,007mobscene,m4_1976
1977,5202,13,4m 23sec,013-Bleeding Love,Leona Lewis,2008,En g.,013bleedingloveleonalewissofreshthehitsofsummer2009+thebestof2008,m4_1977
1978,5205,15,4m 59sec,015-Mony Mony,BilYly Idol,,Eng.,015monymonybilylyidolnowthatswhaticallthe80shits,m4_1978
1979,4427,3,4m 29sec,003-Do You Really Want to Hurt Me,CultureClub,,Eng.,003doyoureallywanttohurtmecultureclubas100maisdaantena1volii,m4_1979
1980,5286,7,4m 43sec,007-Take It Off the Top,Deep Purple,,Eng.,007takeitoffthetopdeeppurpleinconcertwiththelondonsymphonyorchestra,m4_1980
1981,5213,17,4m 1sec,017-What U Mean,Webbie,,Eng.,017whatumeanwebbiesavagelife4,m4_1981
1982,5214,8,3m 44sec,"008-Oh Woman, Oh Why?",Bert Kaempfert,,Eng.,008ohwomanohwhybertkaempfertbertkeampfertnow,m4_1982
1983,5215,4,4m 16sec,004-Violet,Birds of Tokyo,,Eng.,004violetbirdsoftokyothebrokenstringstour,m4_1983
1984,5217,5,2m 53sec,005-Ett litet rosa band,Vikingarna,,Swe.,005ettlitetrosabandvikingarnakramgoalatar18,m4_1984
1985,5220,11,0m 39sec,011-Blaydon Races,[unknown],,Eng.,011blaydonracesunknownengland,m4_1985
1986,5222,11,4m 57sec,911,Skadanks,,unknown,911skadanksgivethanks,m4_1986
1987,1603,27,2m 29sec,027-MMemphis,Bo Diddley,,Eng.,027mmemphisbodiddleythechessyears19551974,m4_1987
1988,5225,1,3m 46sec,001-Bad Boyfriend,Garbae,,Eng.,001badboyfriendgarbaebleedlikeme,m4_1988
1989,1969,7,6m 8sec,007-Another Won,Majesty,,Eng.,007anotherwonmajestymarchofthetyrant,m4_1989
1990,4263,4,unknown,004-Children of God,Aesthetic Perfection,,Eng.,004childrenofgodaestheticperfectionaestheticperfection,m4_1990
1991,5235,3,2m 31sec,003-In The House,Torpeedoh,,Eng.,003inthehousetorpeedohplaythegame,m4_1991
1992,2473,A,6m 14sec,00A-Trouble,Robert Manos,,Eng.,00atroublerobertmanostroublemadness,m4_1992
1993,2158,18,4m 39sec,018-Dinner with Gershwin,Donna Summer,,Eng.,018dinnerwithgershwindonnasummerthejourneytheverybestofdonnasummer,m4_1993
1994,5240,9,3m 8sec,009-Trillium,The Youngbloods,,Eng.,009trilliumtheyoungbloodselephantmountain,m4_1994
1995,5280,10,4m 4sec,010-Cats in the Cradle,Ugly Kid Joe,,Eng.,010catsinthecradleuglykidjoepowerballads,m4_1995
1996,5243,6,3m 12sec,006-Apressadinho,Genario,,Por.,006apressadinhogenarioforrodevanguarda,m4_1996
1997,3403,5,3318-A033,005-Pleidean Communication,A Positive Life,,Eng.,005pleideancommunicationapositivelifetwoad,m4_1997
1998,5250,,1m 45sec,"007-Conversation Piece (1951), musical: Act One. You ask me to have a discrete heart",Noel Coward,,unknown,007conversationpiece,m4_1998
1999,5254,7,5m 39sec,007-Running Blood,Anthem,,Emg.,007runningbloodanthemsevenhills,m4_1999
2000,1423,12,1m 35sec,012-Drop the Soap,Dead,,Eng.,012dropthesoapdeadinthebondageofvice,m4_2000
2001,4136,124,0m 4sec,124-Vox Clang (alternate),Daniel C. Holter,,Eng.,124voxclang,m4_2001
2002,5258,4,5m 47sec,"004-String Quartet No. 1 in E minor ""From My Life""K, JB 1:105: IV. Vivace",Bedrich Smetana,,Eng.,004stringquartetno1ineminorfrommylifekjb1105ivvivacebedrichsmetanasmetanathetwostringquartetsdvorakromanceop9twowaltzesop54,m4_2002
2003,5265,5,6m 9sec,"005-Heaven, How Long",East India Youth,,Eng.,005heavenhowlongeastindiayouthtotalstrifeforever,m4_2003
2004,1593,12,4m 31sec,012-Ex Nihilo,Dark Tranquillity,,Eng.,012exnihilodarktranquillitydamagedone,m4_2004
2005,5269,1,2m 9sec,001-,,,Jap.,001#,m4_2005
2006,5270, 10,3m 38sec,010-Unchained Melody,The Righteous Brothers,,Eng.,010unchainedmelodytherighteousbrothersthedefinitivecollection,m4_2006
2007,5274,8,410,008-snow of love -inlay ix-,ave;new,,Jap.,008snowofloveinlayixavenewinlay,m4_2007
2008,5278,6,unknown,006-Perdimos algo,Cecilia,,Spa.,006perdimosalgoceciliacancionesineditas,m4_2008
2009,9183,20,2m 21sec,020-Garden,Post Industrial Boys,,Eng.,020gardenpostindustrialboystrauma,m4_2009
2010,5290,1,3m 41sec,001-Let's Pretend We're Married,Tina Turner,,Eng.,001letspretendweremarriedtinaturnerlive&alive,m4_2010
2011,2653,2,4m 28sec,002-Greatest_Story,Kim Taylor,,Eng.,002greateststorykimtaylorthegreateststory,m4_2011
2012,5292,8,2m 30sec,008-Quite Nights,Johnny Mathis,,Eng.,008quitenightsjohnnymathistheshadowofyoursmile,m4_2012
2013,8184,54,0m 38sec,054-You are a sub-sub,M. Whitvvell,,,054youareasubsubmwhitvvellprojectecho,m4_2013
2014,5297,12,4m 19sec,quisiera,Ella baila sola,,Spa.,quisieraellabailasolaloechamosasuertes,m4_2014
2015,8812,9,6m 8sec,009-Eveyrday (DJ Gregory remix),John Ciafone,2003,Eng.,009eveyrdayjohnciafonespaceibiza2003,m4_2015
2016,4884,14,1m 44sec,014-Porn Magazines,Rachel Portman,,Eng.,014pornmagazinesrachelportmaninfamous,m4_2016
2017,5301,3,3m 46sec,003-,,,Jap.,003#,m4_2017
2018,1051,3,5m 56sec,003-Fiuio,New Riders of the Purple Sage,,Eng.,003fiuionewridersofthepurplesage17pineavenue,m4_2018
2019,9079,17,3m 13sec,017-Doo Dah,Cartoons,,Eng.,017doodahcartoonscompletenineties,m4_2019
2020,5306,10,unknown,010-Skinhead Times,The Solution,,Eng.,010skinheadtimesthesolutionuptheoi,m4_2020
2021,329,4,4m 46sec,004-We Got to Have Peace,Curtis Mayfield,,Eng.,004wegottohavepeacecurtismayfieldthedefinitivecollection,m4_2021
2022,5307,5,2m 48sec,005-The Three Ravens,Sonne Hagal,,unknown,005thethreeravenssonnehagalonlyechoesremain,m4_2022
2023,333,7,4m 11sec,007-Confession,Jack Radics,,Eng.,007confessionjackradicsalwaysaround,m4_2023
2024,5309,7,2m 48sec,007-Evil Evol,Power of Dreams,,unknow,007evilevolpowerofdreamspositivity,m4_2024
2025,6711,3,2m 28sec,003-Only the Lonely,Roy Orbison,,Eng.,003onlythelonelyroyorbisonohprettywomanthegreatesthits,m4_2025
2026,3681,6,2m 36sec,006-Lost Highway,The Osborne Brothers,,Eng.,006losthighwaytheosbornebrothersbestofbluegrasspreachinprayinandsingin,m4_2026
2027,5323,9,3m 22sec,009-Wait Another Day,The Ghost Is Dancing,,Eng.,009waitanotherdaytheghostisdancingthedarkestspark,m4_2027
2028,5326,8,2m 13sec,008-Don't Becomet he Thing You Hated,Destroyer,,Eng.,008dontbecomethethingyouhateddestroyeryourblues,m4_2028
2029,1308,7,3m 38sec,007-Ik wou dat je een vreemde was,Acda en De Munnik,,uDt.,007ikwoudatjeeenvreemdewasacdaendemunnikjouwlevenlangbijmij,m4_2029
2030,5330,24,2m 59sec,Track 24,Ayn Rand,,Eng.,track24aynrandthefountainhead,m4_2030
2031,5331,14,4m 11sec,014-Ease My Mind (Another Perspective mix),Arrested Development,,Eng.,014easemymind,m4_2031
2032,6934,7,5m 14sec,007Libero di cambiare,Stadio,,Ita.,007liberodicambiarestadiostabiliamouncontatto,m4_2032
2033,5334,7,3m 28sec,007-Imagine,TheSpinners,,Eng.,007imaginethespinnersagoldenhourofthespinners,m4_2033
2034,5335,9,4m 2sec,009-When You Called My aNme,Newsboys,,Eng.,009whenyoucalledmyanmenewsboysgoingpublic,m4_2034
2035,5344,15,2m 56sec,015-Boy Meets Girl,Paper Blitz Tissue,,Eng.,015boymeetsgirlpaperblitztissuereallifepermanentdreamsacornucopiaofbritishpsychedelia19651970,m4_2035
2036,3189,1,3m 19sec,Kapitel 01,Kerstin Gier,,Ger.,kapitel01kerstingierlugendievonherzenkommen,m4_2036
2037,6905,6,7m 52sec,006-Forbidden Planet,Dr. Kucho!,,Eng.,006forbiddenplanetdrkuchohappinessforyourbody&soul,m4_2037
2038,5353,22,1m 25sec,022-Meen Time,DJ Hazard,,Eng.,022meentimedjhazardfabriclive65djhazard,m4_2038
2039,9285,7,5m 52sec,007-Yes and No,Jamey Aebersold,,Eng.,007yesandnojameyaebersoldvolume33wayneshorter,m4_2039
2040,5356,48,0m 8sec,048-Orchestral Bird Whistle,[no artist],,Eng.,048orchestralbirdwhistlenoartistultimatesoundfx,m4_2040
2041,5358,16,3m 16sec,016-Time Is Tight,Booker T. & The MGs,,Eng.,016timeistightbookert&themgsmemphissoulclassics,m4_2041
2042,8165,4,2m 36sec,004-Prisoner of Dub,Sub Oslo,,n.a.,004prisonerofdubsuboslosubsignalsvoli,m4_2042
2043,5365,1,5m 10sec,001-Murder The World,Mental Wreckage,,unknown,001murdertheworldmentalwreckagestructuralchaos,m4_2043
2044,5366,4,4m 4sec,004-Du Hast,Anticonformance,,unknown,004duhastanticonformanceasteroid110393,m4_2044
2045,5368,9,3m 59sec,009-A Tonga Da Mironga Do Kabulete,"Toquinho, Vinicius de Moraes & Monsueto",,Por.,009atongadamirongadokabuletetoquinhoviniciusdemoraes&monsuetotrilhasonorainsensatocoracaonacional,m4_2045
2046,4632,10,3m 34sec,010-Tumbado a la bartola,Siniestro Total,,Spa.,010tumbadoalabartolasiniestrototaldehoynopasa,m4_2046
2047,5370,19,1m 25sec,019-This little babe,Chalmers damkor,2008,unknown,019thislittlebabechalmersdamkorjulkonsert2008,m4_2047
2048,3201,6,unknown,006-Noladets (Diterihs un zinotaji),Zigmars Liepins,,Lat.,006noladets,m4_2048
2049,5418,2,6m 21sec,002-Jdarling,Ricky Peterson,,Eng.,002jdarlingrickypetersonacidjazzvolviii,m4_2049
2050,5376,,2m 8sec,009-Four Scottish Dances: Pesante,Malcolm Arnold,,Eng.,009fourscottishdancespesantemalcolmarnolddances,m4_2050
2051,6017,4,3m 28sec,004-Ideme dalej,Zverina,,Slo.,004idemedalejzverinasvetlovtme,m4_2051
2052,5382,7,4m 57sec,"Horn Concerto No. 3 in E-flat major, K. 447: II. Romance. Larghetto",Wolfgang Amadeus Mozart,,Eng.,hornconcertono3ineflatmajork447iiromancelarghettowolfgangamadeusmozarthornconcertoswindquintet,m4_2052
2053,5383,3,4m 20sec,"003-Concerto No. 4, BWV 1049: III. Presto",Johann Sebastian Bach,,Eng.,003concertono4bwv1049iiiprestojohannsebastianbachbrandenburgconcertos45&6,m4_2053
2054,5389,8,5m 59sec,008-Eight Days on the Road,Foghat,,Elng.,008eightdaysontheroadfoghatlive,m4_2054
2055,2600,10,0m 57sec,"010-Ecossaise No. 1 in D major, Op. 72 No. 3a",Frederic Chopin,,Eng.,010ecossaiseno1indmajorop72no3afredericchopincompleteeditionvolume2balladesetudes,m4_2055
2056,5391,1,2m 59sec,001-Introduccion,Willie Colon,,Spa.,001introduccionwilliecolonasaltonavideno,m4_2056
2057,3223,16,3m 14sec,016-Talk to Me,Nirvana,,Eng.,016talktomenirvana19911119ilcastelloromeitaly,m4_2057
2058,6527,8,3m 21sec,008-The Train,Steve Gibbons Band,nul l,Eng.,008thetrainstevegibbonsbandmaintainingradiosilence,m4_2058
2059,6820,11,4m 25sec,011-Green Apples,Chantal Kreviazuk,,Eng.,011greenappleschantalkreviazukundertheserocksandstones,m4_2059
2060,5127,9,2m 46sec,009-Daughtera,Victor DeLorenzo,,En.g,009daughteravictordelorenzopancakeday,m4_2060
2061,5405,7,2m 29sec,007-Outro (The Dance of Damned Souls),Thunderbolt,,Eng.,007outro,m4_2061
2062,9166,5,12m 39sec,005-Tune Five,AMM,,Eng.,005tunefiveammtuneswithoutmeasureorend,m4_2062
2063,5414,6,3m 15sec,006-Honey Please Can't Ya See,Barry White,,Eng.,006honeypleasecantyaseebarrywhitebarrywhite&marvingaye,m4_2063
2064,5415,21,unknown,021-Shampoo,Elvis Perkins Tin Dearland,,Eng.,021shampooelvisperkinstindearland20090429horseshoetaverntorontooncanada,m4_2064
2065,5417,2,3m 58sec,002-My Way,Roxus,,unknown,002mywayroxusnightstreet,m4_2065
2066,2544,7,5m 11sec,007-Concerto in G: I. Allegro ma non troppo,Antonio Piacentino Romano,,Eng.,007concertoingiallegromanontroppoantoniopiacentinoromanoitalianfluteconcertos,m4_2066
2067,1630,2,4m 6sec,002-All My Friends Say (album version),Luke Bryan,,Eng.,002allmyfriendssay,m4_2067
2068,8168,13,3m 50sec,013-Outro,Awon,,Eng.,013outroawonbeautifulloser,m4_2068
2069,5423,A1,1 m 45sec,0A1-E.E.G.,The Rejects,,Eng.,0a1eegtherejectsbacktoschool,m4_2069
2070,1502,6,m sec,006-Back,Wippenberg presents Sphaera,2008,Eng.,006backwippenbergpresentssphaeraarmadaatibizasummer2008,m4_2070
2071,9679,11,5m 45sec,011-Patience,Nas & Damian Marley,,Eng.,011patiencenas&damianmarleydistantrelatives,m4_2071
2072,5426,9,4m 58sec,009-Hvis Du Vil,Lis Srensen,,unknown,009hvisduvillissrensensigjnerblod,m4_2072
2073,5428,8,4m 53sec,008-Bring It Back,TAB,,Eng.,008bringitbacktabtwoworlds,m4_2073
2074,5429,46,0m 30sec,046-Stab (narration),Daniel C. Holter & Chris Weerts,,Eng.,046stab,m4_2074
2075,4589,16,4m 1sec,016-I Got a Feelin',The Buckinghams,,Eng.,016igotafeelinthebuckinghamsinoneearandgonetomorrow,m4_2075
2076,6586,15,4m 39sec,015-Tampereen aamu,Juice Leskinen Grand Slam,,Fin.,015tampereenaamujuiceleskinengrandslamboogieteorianalkeetperuskoulunalaastettavartenlyhytoppimaara,m4_2076
2077,3711,10,2m 58sec,010-Tango Man,Red Earth & Rust,,Eng.,010tangomanredearth&rustdarkmercy,m4_2077
2078,5441, 5,2m 39sec,005-Labour for Learning,Dsmond Dekker,,Eng.,005labourforlearningdsmonddekkerrudygotsoul196368theearlybeverleyssessions,m4_2078
2079,5448,2,4m 4sec,002-Chile,Neil Biggin,,Eng.,002chileneilbigginreloaded,m4_2079
2080,5456,2,unknown,002-Bam,Trak O Holik,,Eng.,002bamtrakoholikyallwannaplayhouse,m4_2080
2081,5459,A5,unknown,0A5-More is sondag,Heintje,,Afr.,0a5moreissondagheintjesuidafrikajouhartisweermyne,m4_2081
2082,1137,1,2m 42sec,001-No quiero verte mas llorar,Tierra Cali,,Spa.,001noquierovertemasllorartierracali12alegresycalentanosexitos,m4_2082
2083,5460,14,2m 21sec,014-Feierabend,Heinz Rudolf Kunze,,Ger.,014feierabendheinzrudolfkunzedergolemauslemgo,m4_2083
2084,5467,7,unknown,007-Arrow,Flying Horseman,,Eng.,007arrowflyinghorsemanwildeyes,m4_2084
2085,7173,3,5m 40sec,"003-No Women, No Cry",Rockabye Baby!,,Eng.,003nowomennocryrockabyebabylullabyrenditionsofbobmarley,m4_2085
2086,5470,5,4m 55sec,005-Der Seelenkunder V,Point Whitmark,,Ger.,005derseelenkundervpointwhitmarkpointwhitmarkepisode29derseelenkunderiii,m4_2086
2087,5476,10,4m 13sec,010-Vitamin Pills,Toni Collette & The Finish,,Eng.,010vitaminpillstonicollette&thefinishbeautifulawkwardpictures,m4_2087
2088,1571,14,4m 16sec,014-Chapter 02-07: The Riders of Rohan,J.R.R. Tolkien read by Rob Inglis,,Eng.,014chapter0207theridersofrohanjrrtolkienreadbyrobinglisthetwotowers,m4_2088
2089,5489,12,0m 44sec,012-Battle of Sudden Flame,Blind Guardian,,Eng.,012battleofsuddenflameblindguardiannightfallinmiddleearth,m4_2089
2090,5493,9,4m 4sec,009-Astronaut Farewell Blues,Decoder Ring,,Eng.,009astronautfarewellbluesdecoderringtheyblindthestarsandthewildteam,m4_2090
2091,8532,1,3m 32sec,001-Great Things,Echobelly,,Eng.,001greatthingsechobellygreatthings,m4_2091
2092,5498,2,5m 50sec,002-Urge for Going,Tony Rice,,Eng.,002urgeforgoingtonyricenightflyer,m4_2092
2093,5505,35,unknown,Track 35.mp3,Nora Roberts,,Eng.,track35mp3norarobertschesapeakeblue,m4_2093
2094,5509,2,3m 57sec,002-How Long,Michael Schenker,,Eng.,002howlongmichaelschenkertempleofrock,m4_2094
2095,5514,1,1m 36sec,001-Awakening Thoughts,Paul Hardcastle,,Eng.,001awakeningthoughtspaulhardcastlejazzmasters6,m4_2095
2096,3017,1,2m 57sec,001-James,Frantic Flowers,,unknown,001jamesfranticflowersfivesmartflops,m4_2096
2097,5518,3,2m 45sec,00u3-Tumbalalaika,The Barry Sisters,,Yid.,00u3tumbalalaikathebarrysistersmainglick,m4_2097
2098,5519,3,3m 58sec,003-Johnny Vender Hjem fra Krig,Rde Mor,,unknown,003johnnyvenderhjemfrakrigrdemorsylvestersdrm,m4_2098
2099,5521,8,3m 34sec,008-Las Rejas No Matan,Maria-Dolores-Pradera,,unknown,008lasrejasnomatanmariadolorespradera20exitosvolii,m4_2099
2100,5529,6,5m 3sec,006-Chrome Invader,Babylon Zoo,,Eng.,006chromeinvaderbabylonzookingkonggroover,m4_2100
2101,391,3,5m 56sec,003-After All,Ian Van Dahl,,Eng.,003afterallianvandahlace,m4_2101
2102,5537,1,2m 59sec,001-Kometa,Jaromir Nohavica,,Cze.,001kometajaromirnohavicadoma,m4_2102
2103,5538,4,3m 10sec,004-Slip Into Long Beach,RBX,,Eng.,004slipintolongbeachrbxtherbxfiles,m4_2103
2104,9275,18,unknown,018-Amanhaa Vazio,Hugo Pena & Gabriel,,unknown,018amanhaavaziohugopena&gabrielnossoamorjaera,m4_2104
2105,5543,2,4m 19sec,001-How Strong,Sheila Nicholls,,Eng.,001howstrongsheilanichollswake,m4_2105
2106,8587,11,4m 46sec,011-One & Only,Echo Jet,,Eng.,011one&onlyechojetechojet,m4_2106
2107,911,1,4m 50sec,001-Conditionierer,Moebius & Plank,,unknown,001conditionierermoebius&plankbegegnungenii,m4_2107
2108,5545,1,5m 41sec,001-I'm Soul,Sleepy Brown,n.a.,Eng.,001imsoulsleepybrownmrbrown,m4_2108
2109,5550,6,5m 36sec,006-Tsatske Kazatske,The Klezmer Conservatory Band,,Yid.,006tsatskekazatsketheklezmerconservatorybandatouchofklez,m4_2109
2110,5551,14,2m 59sec,014-La Belle Helene: Act II. No. 9 Entr'acte,Jacques Offenbach,,Fre.,014labelleheleneactiino9entractejacquesoffenbachlabellehelene,m4_2110
2111,6980,17,4m 50sec,017-De soldatenmoeder,Zangeres Zonder Naam,,Dut.,017desoldatenmoederzangereszondernaamvicvandereijtstop100vannederlandstaligesingles,m4_2111
2112,5561,3,11m 4sec,003-The Untouched Dew,Mothlite,,Eng.,003theuntoucheddewmothlitetheflaxofreveries,m4_2112
2113,5562,3,4m 16sec,003-What You Think I Need,Terami Hirsch,,Eng.,003whatyouthinkineedteramihirschallgirlband,m4_2113
2114,6055,1,4m 12sec,001-Salva Mea,Faithless,,Eng.,001salvameafaithlessministryofsoundtherush,m4_2114
2115,8049,1,3m 45sec,001-Gone Dead Train,Nazareth,,Eng.,001gonedeadtrainnazarethnazology,m4_2115
2116,5565,16,2m 29sec,016-Just How Lucky We Are,PeteHam,,Eng.,016justhowluckywearepeteham7parkavenue,m4_2116
2117,7857,2,7m 13sec,002-Traum Funf,Sensorama,,Ger.,002traumfunfsensoramanagelbrett,m4_2117
2118,5568,6,3m 8sec,006-Inner Silence,Anathema,,Eng.,006innersilenceanathemaalternative4,m4_2118
2119,5571,17,unknown,017-Shopping,Skitanja,,Eng.,017shoppingskitanjanineteeneightyseven,m4_2119
2120,2311,3,2m 58sec,003- ,My Victory,,Eng.,003myvictorywearebackvolvi,m4_2120
2121,4309,3,4m 42sec,003-Love Is a Cross,Russ Lee,,Eng.,003loveisacrossrussleethesecondmile,m4_2121
2122,5578,5,6m 36sec,005-lady coryell,Larr yCoryell,,Eng.,005ladycoryelllarrycoryellladycoryell,m4_2122
2123,5581,15,2m 55sec,015-Un Jardinero De Amor,Compay Segundo,,Spa.,015unjardinerodeamorcompaysegundomusiquetraditionnellecubaine,m4_2123
2124,5584,B3,2m 32sec,0B3-Gengennarugenge (Phil Jay remix),Z100,,Eng.,0b3gengennarugenge,m4_2124
2125,2418,7,3m 1sec,007-Down in the Alley,Memphis Minnie,,nEg.,007downinthealleymemphisminniethosedirtybluesvoli,m4_2125
2126,5591,002-Lay Me Down,3m 58sec,002-Lay Me Down,Ashley MacIsaac,,Egn.,002laymedownashleymacisaacashleymacisaac,m4_2126
2127,4047,1,2m 42sec,001-Country Crock,Loosegoats,,Eng.,001countrycrockloosegoatscountrycrock,m4_2127
2128,5593,4,6m 4sec,004-Katra Katra (RD Burman/Gulzar), Asha Bhosle,,Hin.,004katrakatra,m4_2128
2129,5595,9,4m 18sec,009-Love of My Life,David Palmer,,Eng.,009loveofmylifedavidpalmerpassingopenwindowsasymphonictributetoqueen,m4_2129
2130,6772,17,3m 0sec,017-Jag ar ett bedarande barn  av min tid,"Karl Gerhard, Folkans Orkester",,Swe.,017jagarettbedarandebarnavmintidkarlgerhardfolkansorkestermedenenkeltulipanjulessylvain100ar,m4_2130
2131,7058,4,3m 15sec,004-South California,CunninLynguists feat. Tunji,,Eng.,004southcaliforniacunninlynguistsfeattunjistrangejourneyvolumethree,m4_2131
