ids,label,wor_author,half_author,wor_binding,half_binding,wor_id,half_id,wor_isbn,half_isbn,wor_pages,half_pages,wor_pubdate,half_pubdate,wor_publisher,half_publisher,wor_title,half_title
wor_34543_half_2093,1,Tamora Pierce,Tamora Pierce,Paperback,Paperback,wor_34543,half_2093,9780375829086,9780375829086,429,429,(24 Aug 2004),"Aug. 24th, 2004",Ember ,Random House (NY),Lady Knight,Lady Knight
wor_5688_half_927,0,Louis Sachar,Louis Sachar,Paperback,Paperback,wor_5688,half_927,9781408801734,9780380731503,192,160,(16 Aug 2010),"Jun. 1st, 1998",Bloomsbury Publishing PLC ,HarperTrophy,Wayside School is Falling Down,Wayside School Is Falling Down
wor_15687_half_461,0,Lois Duncan,Lois Duncan,Paperback,,wor_15687,half_461,9781907410628,9780316099004,304,248,(5 May 2011),"Oct. 5th, 2010","Little, Brown Book Group ","Little, Brown Books for Young Readers",Killing Mr Griffin,Killing Mr. Griffin
wor_15683_half_461,1,Lois Duncan,Lois Duncan,Paperback,,wor_15683,half_461,9780316099004,9780316099004,272,248,(5 Oct 2010),"Oct. 5th, 2010","Little, Brown & Company ","Little, Brown Books for Young Readers",Killing Mr. Griffin,Killing Mr. Griffin
wor_35069_half_1060,1,Marjorie Kinnan Rawlings,Marjorie Kinnan Rawlings,Paperback,,wor_35069,half_1060,9780020449317,9780020449317,416,416,(1 Mar 1988),"Mar. 30th, 1988",Prentice Hall (a Pearson Education company) ,Simon Pulse,The Yearling,The Yearling
wor_43899_half_2241,0,Carolyn MacCullough,Carolyn MacCullough,,,wor_43899,half_2241,9781531881191,9780547417301,-1,312,(11 Oct 2016),"Sep. 6th, 2010",Brilliance Audio ,Graphia Books,Once a Witch,Once a Witch
wor_43894_half_2241,1,Carolyn Maccullough,Carolyn MacCullough,Paperback,,wor_43894,half_2241,9780547417301,9780547417301,320,312,(6 Sep 2010),"Sep. 6th, 2010","Cengage Learning, Inc ",Graphia Books,Once a Witch,Once a Witch
wor_29664_half_380,0,Stephenie Meyer,Stephenie Meyer,Hardback,Paperback,wor_29664,half_380,9781904233862,9780316075657,576,563,(5 Apr 2007),"Nov. 1st, 2009","Little, Brown Book Group ","Little, Brown Books for Young Readers",New Moon,New Moon
wor_29657_half_380,0,Stephenie Meyer,Stephenie Meyer,Paperback,Paperback,wor_29657,half_380,9781905654604,9780316075657,512,563,(27 Oct 2009),"Nov. 1st, 2009","Little, Brown Book Group ","Little, Brown Books for Young Readers",New Moon,New Moon
wor_44151_half_2586,0,Robert Liparulo,Robert Liparulo,,Paperback,wor_44151,half_2586,9781441777294,9781595547286,-1,292,(17 Nov 2010),"Sep. 29th, 2009",Blackstone Publishing ,Thomas Nelson s,Watcher in the Woods,Watcher in the Woods
wor_44150_half_2586,0,Robert Liparulo,Robert Liparulo,,Paperback,wor_44150,half_2586,9781441777300,9781595547286,-1,292,(17 Nov 2010),"Sep. 29th, 2009",Blackstone Publishing ,Thomas Nelson s,Watcher in the Woods,Watcher in the Woods
wor_44138_half_2586,1,Robert Liparulo,Robert Liparulo,Paperback,Paperback,wor_44138,half_2586,9781595547286,9781595547286,304,292,(29 Sep 2009),"Sep. 29th, 2009",Thomas Nelson Publishers ,Thomas Nelson s,Watcher in the Woods,Watcher in the Woods
wor_28808_half_216,0,Doug Wilhelm,Doug Wilhelm,,,wor_28808,half_216,9781501279768,9780312563745,-1,240,(25 Aug 2015),"Aug. 30th, 2011",Brilliance Audio ,Square Fish,The Revealers,The Revealers
wor_28798_half_216,1,Doug Wilhelm,Doug Wilhelm,Paperback,,wor_28798,half_216,9780312563745,9780312563745,240,240,(30 Aug 2011),"Aug. 30th, 2011",Square Fish ,Square Fish,The Revealers,The Revealers
wor_44632_half_2374,0,Jessica Verday,Jessica Verday,,,wor_44632,half_2374,9781455111060,9781416978985,-1,387,(6 Sep 2011),"Aug. 7th, 2012",Blackstone Audiobooks ,Simon Pulse,The Hidden,The Hidden
wor_44615_half_2374,0,Jessica Verday,Jessica Verday,Paperback,,wor_44615,half_2374,9781847385000,9781416978985,400,387,(1 Sep 2011),"Aug. 7th, 2012",Simon & Schuster Ltd ,Simon Pulse,The Hidden,The Hidden
wor_44620_half_2374,1,Jessica Verday,Jessica Verday,Paperback,,wor_44620,half_2374,9781416978985,9781416978985,387,387,(7 Aug 2012),"Aug. 7th, 2012",Simon & Schuster ,Simon Pulse,The Hidden,The Hidden
wor_30703_half_827,0,Patrick Ness,Patrick Ness,Paperback,,wor_30703,half_827,9781406379181,9780763656652,624,603,(1 Feb 2018),"Sep. 13th, 2011",Walker Books Ltd ,Candlewick Press (MA),Monsters of Men,Monsters of Men
wor_48303_half_3000,0,Paul Rink,Paul Rink,Hardback,Paperback,wor_48303,half_3000,9781402731891,9781402736100,181,181,(1 Aug 2006),"Aug. 1st, 2006",Sterling Publishing (NY) ,Sterling Publishing (NY),Admiral Richard Byrd: Alone in Antarctica,Admiral Richard Byrd
wor_48300_half_3000,1,Paul Rink,Paul Rink,Paperback,Paperback,wor_48300,half_3000,9781402736100,9781402736100,192,181,(8 Mar 2007),"Aug. 1st, 2006",Sterling Juvenile ,Sterling Publishing (NY),Admiral Richard Byrd: Alone in the Antarctic,Admiral Richard Byrd
wor_33311_half_1975,0,Megan Whalen Turner,Megan Whalen Turner,Paperback,Paperback,wor_33311,half_1975,9780062642998,9780061870958,352,352,(28 Feb 2017),"Aug. 23rd, 2011",HarperCollins Publishers Inc ,Greenwillow Books,A Conspiracy of Kings,A Conspiracy of Kings
wor_33304_half_1975,0,Megan Whalen Turner,Megan Whalen Turner,Hardback,Paperback,wor_33304,half_1975,9780061870934,9780061870958,336,352,(1 May 2010),"Aug. 23rd, 2011",Greenwillow Books ,Greenwillow Books,Conspiracy of Kings,A Conspiracy of Kings
wor_10781_half_1266,0,Susan Cooper,Susan Cooper,Paperback,,wor_10781,half_1266,9780689829833,9781416949657,232,244,(1 Sep 1999),"May. 8th, 2007",Simon & Schuster ,Simon Pulse,The Dark is Rising,The Dark Is Rising
wor_10781_half_256,1,Susan Cooper,Susan Cooper,Paperback,Paperback,wor_10781,half_256,9780689829833,9780689829833,232,232,(1 Sep 1999),"Oct. 1st, 1999",Simon & Schuster ,Aladdin Paperbacks,The Dark is Rising,The Dark Is Rising
wor_34296_half_774,0,Joan Aiken,Joan Aiken,Paperback,Paperback,wor_34296,half_774,9780099572879,9780440496038,256,181,(1 Aug 2012),"Oct. 1st, 1987",Vintage Publishing ,Yearling Books,The Wolves of Willoughby Chase,The Wolves of Willoughby Chase
wor_33302_half_1751,0,Megan Whalen Turner,Megan Whalen Turner,Paperback,Paperback,wor_33302,half_1751,9780062642981,9780060835798,432,387,(28 Feb 2017),"Jun. 12th, 2007",HarperCollins Publishers Inc ,Eos,The King of Attolia,The King of Attolia
wor_33299_half_1751,1,Megan Whalen Turner,Megan Whalen Turner,Paperback,Paperback,wor_33299,half_1751,9780060835798,9780060835798,432,387,(27 Jun 2007),"Jun. 12th, 2007",HarperCollins Publishers Inc ,Eos,The King of Attolia,The King of Attolia
wor_30735_half_287,0,Esther Hoskins Forbes,Esther Forbes,Paperback,,wor_30735,half_287,9780547614328,9780440942504,300,272,(2 May 2011),"Nov. 3rd, 1987",Houghton Mifflin ,Laurel Leaf Library,Johnny Tremain,Johnny Tremain
wor_30750_half_287,0,Esther Forbes,Esther Forbes,,,wor_30750,half_287,9780786196555,9780440942504,-1,272,(1 Mar 2005),"Nov. 3rd, 1987",Blackstone Audiobooks ,Laurel Leaf Library,Johnny Tremain,Johnny Tremain
wor_6043_half_287,0,Esther Forbes,Esther Forbes,Paperback,,wor_6043,half_287,9780440442509,9780440942504,256,272,(1 May 1987),"Nov. 3rd, 1987",Bantam Doubleday Dell Publishing Group Inc ,Laurel Leaf Library,Johnny Tremain,Johnny Tremain
wor_30747_half_287,0,Esther Forbes,Esther Forbes,Hardback,,wor_30747,half_287,9780613983211,9780440942504,336,272,(1 Apr 1987),"Nov. 3rd, 1987",Turtleback Books ,Laurel Leaf Library,Johnny Tremain,Johnny Tremain
wor_8566_half_287,1,"Esther Forbes, Lynd Ward",Esther Forbes,Paperback,,wor_8566,half_287,9780440942504,9780440942504,-1,272,(3 Nov 1987),"Nov. 3rd, 1987",Laurel Leaf Library ,Laurel Leaf Library,Johnny Tremain,Johnny Tremain
wor_29848_half_346,0,Sara Shepard,Sara Shepard,Hardback,,wor_29848,half_346,9780606122696,9780060887384,298,336,(27 May 2008),"May. 27th, 2008",Turtleback Books ,Harper Teen,Perfect,Perfect
wor_32311_half_977,0,Alexander Gordon Smith,Alexander Gordon Smith,,,wor_32311,half_977,9781455844685,9780312674410,-1,261,(1 Nov 2011),"Feb. 14th, 2012",Brilliance Audio ,Square Fish,Death Sentence,Death Sentence
wor_32305_half_977,1,Alexander Gordon Smith,Alexander Gordon Smith,Paperback,,wor_32305,half_977,9780312674410,9780312674410,261,261,(14 Feb 2012),"Feb. 14th, 2012",St Martin's Press ,Square Fish,Death Sentence,Death Sentence
wor_47781_half_2919,0,Mathieu Mariolle,Mathieu Mariolle,Hardback,,wor_47781,half_2919,9780761365020,9780761365389,136,136,(1 Aug 2010),"Nov. 1st, 2010",Graphic Universe (Tm) ,Graphic Universe,Changing Moon: Book 1,Changing Moon
wor_38564_half_2639,0,Tim Tharp,Tim Tharp,Hardback,,wor_38564,half_2639,9780375851797,9780375865022,-1,294,(1 Nov 2008),"Dec. 14th, 2010",Random House USA Inc ,Alfred A. Knopf,The Spectacular Now,The Spectacular Now
wor_38563_half_2639,0,Tim Tharp,Tim Tharp,,,wor_38563,half_2639,9781480543522,9780375865022,-1,294,(19 Jul 2013),"Dec. 14th, 2010",Brilliance Audio ,Alfred A. Knopf,The Spectacular Now,The Spectacular Now
wor_38552_half_2639,0,Tim Tharp,Tim Tharp,Paperback,,wor_38552,half_2639,9781407146454,9780375865022,304,294,(6 Feb 2014),"Dec. 14th, 2010",Scholastic ,Alfred A. Knopf,The Spectacular Now,The Spectacular Now
wor_38551_half_2639,1,Tim Tharp,Tim Tharp,Paperback,,wor_38551,half_2639,9780375865022,9780375865022,294,294,(14 Dec 2010),"Dec. 14th, 2010",Random House USA Inc ,Alfred A. Knopf,The Spectacular Now,The Spectacular Now
wor_29388_half_119,0,Marissa Meyer,Marissa Meyer,Paperback,,wor_29388,half_119,9780141340135,9781250007209,400,448,(29 Dec 2011),"Jan. 8th, 2013",Penguin Books Ltd ,Square Fish,Cinder,Cinder
wor_29399_half_119,1,Marissa Meyer,Marissa Meyer,Paperback,,wor_29399,half_119,9781250007209,9781250007209,390,448,(8 Jan 2013),"Jan. 8th, 2013",St Martin's Press ,Square Fish,Cinder: Book One of the Lunar Chronicles,Cinder
wor_29447_half_123,0,Anthony Horowitz,Anthony Horowitz,Paperback,Paperback,wor_29447,half_123,9781406360196,9780142406113,272,234,(2 Apr 2015),"Feb. 16th, 2006",Walker Books Ltd ,Puffin Books,Stormbreaker,Stormbreaker
wor_35903_half_1024,0,Roderick Gordon,Roderick Gordon,Paperback,,wor_35903,half_1024,9781905294428,9780545078818,192,496,(2 Jul 2007),"Feb. 1st, 2009",Chicken House Ltd ,Scholastic Paperbacks,Tunnels,Tunnels
wor_35911_half_1024,1,Brian Williams,Roderick Gordon,Paperback,,wor_35911,half_1024,9780545078818,9780545078818,496,496,(1 Feb 2009),"Feb. 1st, 2009",Scholastic US ,Scholastic Paperbacks,Tunnels,Tunnels
wor_28327_half_55,0,James Dashner,James Dashner,Paperback,Paperback,wor_28327,half_55,9781906427795,9780385738767,384,361,(4 Aug 2011),"Sep. 13th, 2011",Chicken House Ltd ,Ember,The Scorch Trials,The Scorch Trials
wor_28963_half_821,0,Ben Mikaelsen,Ben Mikaelsen,Hardback,,wor_28963,half_821,9780380977444,9780060734008,258,320,(12 Apr 2001),"Jan. 4th, 2005",HarperCollins Publishers Inc ,Harper Teen,Touching Spirit Bear,Touching Spirit Bear
wor_28974_half_821,1,Ben Mikaelsen,Ben Mikaelsen,Paperback,,wor_28974,half_821,9780060734008,9780060734008,320,320,(15 Dec 2004),"Jan. 4th, 2005",HarperCollins Publishers Inc ,Harper Teen,Touching Spirit Bear,Touching Spirit Bear
wor_8906_half_942,0,Katherine Paterson,Katherine Paterson,Paperback,,wor_8906,half_942,9780140349818,9780142402542,192,182,(25 Feb 1993),"Sep. 23rd, 2004",Penguin Books Ltd ,Puffin Books,Lyddie,Lyddie
wor_8906_half_2333,0,Katherine Paterson,Katherine Paterson,Paperback,,wor_8906,half_2333,9780140349818,9780140373899,192,182,(25 Feb 1993),"Jan. 1st, 1995",Penguin Books Ltd ,Puffin Books,Lyddie,Lyddie
wor_8906_half_991,1,Katherine Paterson,Katherine Paterson,Paperback,,wor_8906,half_991,9780140349818,9780140349818,192,182,(25 Feb 1993),"Oct. 1st, 1992",Penguin Books Ltd ,Puffin Books,Lyddie,Lyddie
wor_43006_half_2085,0,Malinda Lo,Malinda Lo,,,wor_43006,half_2085,9781522671817,9780316040105,-1,264,(21 Jun 2016),"Oct. 5th, 2010",Audible Studios on Brilliance ,"Little, Brown Books for Young Readers",ASH,Ash
wor_42987_half_2085,0,Malinda Lo,Malinda Lo,Paperback,,wor_42987,half_2085,9780340988374,9780316040105,304,264,(4 Mar 2010),"Oct. 5th, 2010",Hachette Children's Group ,"Little, Brown Books for Young Readers",Ash,Ash
wor_43002_half_2085,0,Malinda Lo,Malinda Lo,Hardback,,wor_43002,half_2085,9780316040099,9780316040105,264,264,(1 Sep 2009),"Oct. 5th, 2010","Little, Brown & Company ","Little, Brown Books for Young Readers",Ash,Ash
wor_42992_half_2085,0,Malinda Lo,Malinda Lo,Paperback,,wor_42992,half_2085,9780316531313,9780316040105,304,264,(14 May 2019),"Oct. 5th, 2010","Little, Brown Books for Young Readers ","Little, Brown Books for Young Readers",Ash,Ash
wor_43001_half_2085,1,Malinda Lo,Malinda Lo,Paperback,,wor_43001,half_2085,9780316040105,9780316040105,264,264,(5 Oct 2010),"Oct. 5th, 2010","Little, Brown Books for Young Readers ","Little, Brown Books for Young Readers",Ash,Ash
wor_47356_half_2841,0,Alex Scarrow,Alex Scarrow,Paperback,,wor_47356,half_2841,9780141326924,9780802723314,432,405,(28 Nov 2009),"Sep. 13th, 2011",Penguin Books Ltd ,Walker & Company,TimeRiders,Timeriders
wor_37475_half_2989,0,Cynthia Voigt,Cynthia Voigt,Paperback,,wor_37475,half_2989,9781442428805,9780689863608,249,250,(1 May 2012),"Jul. 31st, 2003",Simon & Schuster ,Aladdin Paperbacks,A Solitary Blue,A Solitary Blue
wor_39281_half_1499,0,Joshua C Cohen,Joshua C. Cohen,,,wor_39281,half_1499,9781441775351,9780142420867,-1,432,(17 Feb 2011),"Sep. 27th, 2012",Blackstone Audiobooks ,Speak,Leverage,Leverage
wor_39283_half_1499,0,Joshua C Cohen,Joshua C. Cohen,,,wor_39283,half_1499,9781441775313,9780142420867,-1,432,(17 Feb 2011),"Sep. 27th, 2012",Blackstone Audiobooks ,Speak,Leverage,Leverage
wor_39280_half_1499,0,Joshua C Cohen,Joshua C. Cohen,Hardback,,wor_39280,half_1499,9780525423065,9780142420867,425,432,(17 Feb 2011),"Sep. 27th, 2012",Penguin Putnam Inc ,Speak,Leverage,Leverage
wor_39279_half_1499,1,Joshua C Cohen,Joshua C. Cohen,Paperback,,wor_39279,half_1499,9780142420867,9780142420867,425,432,(27 Sep 2012),"Sep. 27th, 2012",Penguin Books Ltd ,Speak,Leverage,Leverage
wor_23848_half_291,0,Ned Vizzini,Ned Vizzini,,,wor_23848,half_291,9781452609317,9781423141914,-1,444,(3 Sep 2012),"Aug. 31st, 2010","Tantor Media, Inc ",Hyperion Books,It's Kind of a Funny Story,It's Kind of a Funny Story
wor_23837_half_291,0,Ned Vizzini,Ned Vizzini,Paperback,,wor_23837,half_291,9780786851973,9781423141914,448,444,(3 Apr 2007),"Aug. 31st, 2010",Disney Book Publishing Inc. ,Hyperion Books,It's Kind of a Funny Story,It's Kind of a Funny Story
wor_31235_half_345,0,Cinda Williams Chim,Cinda Williams Chima,Paperback,,wor_31235,half_345,9780007321988,9781423121367,400,506,(5 Aug 2010),"Aug. 31st, 2010",HarperCollins Publishers ,Hyperion Books,The Demon King,The Demon King
wor_31226_half_345,1,Cinda Williams Chim,Cinda Williams Chima,Paperback,,wor_31226,half_345,9781423121367,9781423121367,506,506,(31 Aug 2010),"Aug. 31st, 2010",Hyperion ,Hyperion Books,The Demon King,The Demon King
wor_29086_half_228,0,Erin Hunter,Erin Hunter,Paperback,,wor_29086,half_228,9780007217885,9780060525590,352,317,(3 Apr 2006),"Jun. 1st, 2004",HarperCollins Publishers ,Avon Books,Fire and Ice,Fire and Ice
wor_32667_half_970,0,Darren Shan,Darren Shan,Paperback,Paperback,wor_32667,half_970,9780006755142,9780316606080,176,240,(6 Nov 2000),"Apr. 1st, 2003",HarperCollins Publishers ,"Little, Brown Young Readers",Tunnels of Blood,Tunnels of Blood
wor_9621_half_647,0,Andrew Clements,Andrew Clements,Hardback,,wor_9621,half_647,9780399236266,9780142400760,-1,251,(4 Mar 2002),"Mar. 8th, 2004",Penguin Putnam Inc ,Puffin Books,Things Not Seen,Things Not Seen
wor_29114_half_459,0,Rosemary Sutcliff,Rosemary Sutcliff,Paperback,,wor_29114,half_459,9780192753922,9780374419301,304,304,(7 Oct 2004),"Sep. 30th, 1993",Oxford University Press ,Farrar Straus Giroux,The Eagle of The Ninth,The Eagle of the Ninth
wor_29120_half_459,0,Rosemary Sutcliff,Rosemary Sutcliff,Hardback,,wor_29120,half_459,9781857155204,9780374419301,304,304,(24 Sep 2015),"Sep. 30th, 1993",Everyman ,Farrar Straus Giroux,The Eagle of the Ninth,The Eagle of the Ninth
wor_41378_half_459,0,Rosemary Wells,Rosemary Sutcliff,,,wor_41378,half_459,9780439543378,9780374419301,12,304,(1 Nov 2003),"Sep. 30th, 1993",Cartwheel Books ,Farrar Straus Giroux,Read to Your Bunny:,The Eagle of the Ninth
wor_47440_half_2854,0,Cathy Bartel,Cathy Bartel,Paperback,,wor_47440,half_2854,9781577947950,9781577947929,90,83,(30 Jun 2007),"May. 31st, 2006",Harrison House ,Harrison House,Every Teen Girl's Little Pink Book on What to Wear,Every Teen Girl's Little Pink Book
wor_47441_half_2854,1,Cathy Bartel,Cathy Bartel,Paperback,,wor_47441,half_2854,9781577947929,9781577947929,83,83,(21 Feb 2009),"May. 31st, 2006",Harrison House ,Harrison House,Every Teen Girl's Little Pink Book,Every Teen Girl's Little Pink Book
wor_33650_half_682,0,Mary E Pearson,Mary E. Pearson,Hardback,,wor_33650,half_682,9780805076684,9780312594411,266,266,(29 Apr 2008),"Sep. 1st, 2009",Henry Holt & Company ,Square Fish,The Adoration of Jenna Fox,The Adoration of Jenna Fox
wor_33656_half_682,1,Mary E. Pearson,Mary E. Pearson,Paperback,,wor_33656,half_682,9780312594411,9780312594411,266,266,(1 Sep 2009),"Sep. 1st, 2009",Griffin Publishing ,Square Fish,The Adoration of Jenna Fox,The Adoration of Jenna Fox
wor_43895_half_2599,0,Carolyn MacCullough,Carolyn MacCullough,,,wor_43895,half_2599,9781536626544,9780547721972,-1,288,(1 Dec 2016),"Aug. 7th, 2012",Brilliance Audio ,Graphia Books,Always a Witch,Always a Witch
wor_43893_half_2599,1,Carolyn Maccullough,Carolyn MacCullough,Paperback,,wor_43893,half_2599,9780547721972,9780547721972,288,288,(7 Aug 2012),"Aug. 7th, 2012","Cengage Learning, Inc ",Graphia Books,Always a Witch,Always a Witch
wor_41207_half_1831,0,Maya Snow,Maya Snow,Hardback,,wor_41207,half_1831,9780061243905,9780061243899,245,277,(27 Jan 2009),"Jun. 30th, 2009",HarperCollins ,HarperCollins,Sisters of the Sword 2: Chasing the Secret,Sisters of the Sword
wor_37478_half_2199,0,Cynthia Voigt,Cynthia Voigt,Paperback,,wor_37478,half_2199,9781442428799,9780689851315,247,368,(6 Mar 2012),"Mar. 1st, 2002",Simon & Schuster ,Simon Pulse,Dicey's Song,Dicey's Song
wor_2740_half_22,0,"Norton Juster, Rainn Wilson, Norton Juster",Norton Juster,,,wor_2740,half_22,9781984887016,9780394820378,-1,272,(19 Mar 2019),"Oct. 12th, 1988",Listening Library (Audio) ,Random House (NY),The Phantom Tollbooth,The Phantom Tollbooth
wor_2727_half_22,1,"Norton Juster, Jules Feiffer",Norton Juster,Paperback,,wor_2727,half_22,9780394820378,9780394820378,256,272,(12 Oct 1988),"Oct. 12th, 1988",Random House USA Inc ,Random House (NY),The Phantom Tollbooth,The Phantom Tollbooth
wor_28742_half_49,0,Elizabeth George Speare,Elizabeth George Speare,Hardback,,wor_28742,half_49,9781606868409,9780440495963,249,256,(10 Jan 2011),"Feb. 15th, 1972",Perfection Learning ,Yearling Books,Witch of Blackbird Pond,The Witch of Blackbird Pond
wor_28734_half_49,0,Elizabeth George Speare,Elizabeth George Speare,Paperback,,wor_28734,half_49,9780547550299,9780440495963,249,256,(10 Jan 2011),"Feb. 15th, 1972","Cengage Learning, Inc ",Yearling Books,The Witch of Blackbird Pond,The Witch of Blackbird Pond
wor_3098_half_2136,0,Frances Hodgson Burnett,Frances Hodgson Burnett,Paperback,,wor_3098,half_2136,9780099572954,9780143106456,384,258,(1 Aug 2012),"Oct. 25th, 2011",Vintage Publishing ,Penguin Books,The Secret Garden,The Secret Garden
wor_866_half_1189,0,Tamora Pierce,Tamora Pierce,Paperback,Paperback,wor_866,half_1189,9780008304164,9781416908173,240,347,(18 Oct 2018),"Dec. 20th, 2005",HarperCollins Publishers ,Simon Pulse,The Realms of the Gods,The Realms of the Gods
wor_35732_half_987,0,Coe Booth,Coe Booth,,,wor_35732,half_987,9781511338868,9780439838801,-1,310,(10 Nov 2015),"Sep. 1st, 2007",Audible Studios on Brilliance ,Push,Tyrell,Tyrell
wor_35719_half_987,1,Booth Coe,Coe Booth,Paperback,,wor_35719,half_987,9780439838801,9780439838801,320,310,(1 Nov 2007),"Sep. 1st, 2007",Scholastic US ,Push,Tyrell,Tyrell
wor_34339_half_776,0,Moira Young,Moira Young,Paperback,,wor_34339,half_776,9781407124261,9781442429994,544,459,(4 Jan 2012),"Jan. 3rd, 2012",Scholastic ,Margaret K. McElderry Books,Blood Red Road,Blood Red Road
wor_29938_half_170,0,Gary D. Schmidt,Gary D. Schmidt,Hardback,,wor_29938,half_170,9781432859930,9780547237602,-1,264,(10 Jan 2019),"May. 1st, 2009",Thorndike Press Large Print ,Houghton Mifflin Harcourt (HMH),The Wednesday Wars,The Wednesday Wars
wor_29943_half_170,0,Gary D. Schmidt,Gary D. Schmidt,Paperback,,wor_29943,half_170,9781432864002,9780547237602,388,264,(13 Mar 2019),"May. 1st, 2009",Thorndike Press Large Print ,Houghton Mifflin Harcourt (HMH),The Wednesday Wars,The Wednesday Wars
wor_28532_half_858,0,Mrs Linda Sue Park,Linda Sue Park,Hardback,,wor_28532,half_858,9780606247160,9780440419440,199,199,(17 Apr 2012),"Jan. 13th, 2004",Turtleback Books ,Dell Yearling,When My Name Was Keoko,When My Name Was Keoko
wor_29789_half_285,0,Christopher Paolini,Christopher Paolini,Paperback,Paperback,wor_29789,half_285,9780552155526,9780375840401,704,704,(1 Mar 2007),"Mar. 13th, 2007",Transworld Publishers Ltd ,Alfred A. Knopf Books for Young Readers,Eldest:,Eldest
wor_28838_half_63,0,Lauren Oliver,Lauren Oliver,Paperback,Paperback,wor_28838,half_63,9780340980934,9780061726835,416,441,(26 Jul 2011),"Feb. 7th, 2012",Hodder & Stoughton ,Harper,Delirium,Delirium
wor_32808_half_866,0,Great Source Education Group,Great Source Education Group,Paperback,,wor_32808,half_866,9780669510157,9780669529166,516,544,(4 Jun 2004),"Apr. 19th, 2005",Great Source Education Group ,Great Source Education Group,ScienceSaurus: A Student Handbook,ScienceSaurus
wor_32811_half_866,0,Great Source,Great Source Education Group,Paperback,,wor_32811,half_866,9780669517569,9780669529166,224,544,(23 Jun 2005),"Apr. 19th, 2005",Great Source Education Group ,Great Source Education Group,Great Source Vocabulary for Achievement: Student Edition Grade 8 Second Course 2006,ScienceSaurus
wor_32810_half_866,1,Great Source Education Group,Great Source Education Group,Paperback,,wor_32810,half_866,9780669529166,9780669529166,544,544,(19 Apr 2005),"Apr. 19th, 2005",Great Source Education Group ,Great Source Education Group,ScienceSaurus: A Student Handbook,ScienceSaurus
wor_46532_half_2736,0,Denise Rinaldo,Denise Rinaldo,Hardback,Paperback,wor_46532,half_2736,9780531221235,9780531228227,144,128,(1 Sep 2015),"Mar. 1st, 2010",C. Press/F. Watts Trade ,Franklin Watts,Julius Caesar,Julius Caesar
wor_46533_half_2736,0,Denise Rinaldo,Denise Rinaldo,Paperback,Paperback,wor_46533,half_2736,9780531223314,9780531228227,144,128,(1 Sep 2015),"Mar. 1st, 2010",Franklin Watts ,Franklin Watts,Julius Caesar,Julius Caesar
wor_46534_half_2736,1,Denise Rinaldo,Denise Rinaldo,Paperback,Paperback,wor_46534,half_2736,9780531228227,9780531228227,128,128,(7 Jun 2016),"Mar. 1st, 2010",Hachette Children's Group ,Franklin Watts,Julius Caesar: Dictator for Life,Julius Caesar
wor_43717_half_2213,0,Don Calame,Don Calame,,,wor_43717,half_2213,9781501211379,9780763647766,-1,345,(1 Dec 2014),"Apr. 13th, 2010",Brilliance Corporation ,Candlewick Press (MA),Swim The Fly,Swim the Fly
wor_43710_half_2213,0,Don Calame,Don Calame,,,wor_43710,half_2213,9781501278624,9780763647766,-1,345,(25 Aug 2015),"Apr. 13th, 2010",Candlewick on Brilliance Audio ,Candlewick Press (MA),Swim the Fly,Swim the Fly
wor_43714_half_2213,0,Don Calame,Don Calame,,,wor_43714,half_2213,9781441890481,9780763647766,-1,345,(14 Sep 2010),"Apr. 13th, 2010",Candlewick on Brilliance Audio ,Candlewick Press (MA),Swim the Fly,Swim the Fly
wor_43708_half_2213,0,Don Calame,Don Calame,Hardback,,wor_43708,half_2213,9780763641573,9780763647766,345,345,(1 Jul 2009),"Apr. 13th, 2010","Candlewick Press,U.S. ",Candlewick Press (MA),Swim The Fly,Swim the Fly
wor_43702_half_2213,1,Don Calame,Don Calame,Paperback,,wor_43702,half_2213,9780763647766,9780763647766,345,345,(1 Jun 2010),"Apr. 13th, 2010","Candlewick Press,U.S. ",Candlewick Press (MA),Swim The Fly,Swim the Fly
wor_12850_half_20,0,"J. K. Rowling, Jim Dale",J. K. Rowling,,Paperback,wor_12850,half_20,9780807281956,9780590353427,7,312,(1 Nov 2000),"Oct. 1st, 1999",Random House USA Inc ,Arthur A. Levine Books,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone
wor_23405_half_1586,0,Jerry Spinelli,Jerry Spinelli,Paperback,,wor_23405,half_1586,9781846165993,9781594378157,192,224,(4 Jan 2007),"Jan. 1st, 2004",Hachette Children's Group ,Alfaguara,Stargirl,Stargirl
wor_23405_half_336,0,Jerry Spinelli,Jerry Spinelli,Paperback,,wor_23405,half_336,9781846165993,9780375822339,192,186,(4 Jan 2007),"May. 14th, 2002",Hachette Children's Group ,Alfred A. Knopf,Stargirl,Stargirl
wor_6153_half_336,1,Jerry Spinelli,Jerry Spinelli,Paperback,,wor_6153,half_336,9780375822339,9780375822339,186,186,(1 Oct 2005),"May. 14th, 2002",Random House USA Inc ,Alfred A. Knopf,Stargirl,Stargirl
wor_23405_half_70,0,Jerry Spinelli,Jerry Spinelli,Paperback,,wor_23405,half_70,9781846165993,9780440416777,192,186,(4 Jan 2007),"May. 11th, 2004",Hachette Children's Group ,Laurel Leaf Library,Stargirl,Stargirl
