ids,bx_author,wor_author,bx_binding,wor_binding,bx_id,wor_id,bx_isbn,wor_isbn,bx_pages,wor_pages,bx_pubdate,wor_pubdate,bx_publisher,wor_publisher,bx_title,wor_title,label
bx_233758_wor_28154,John Bunyan,John Bunyan,,Hardback,bx_233758,wor_28154,9780800786090,9781936830237,-1,264,1999,(15 Dec 2011),Revell,Suzeteo Enterprises ,The Pilgrim's Progress,The Pilgrim's Progress: Both Parts and with Original Illustrations,0
bx_22888_wor_10940,Agatha Christie,Agatha Christie,Paperback,Paperback,bx_22888,wor_10940,9780425068038,9780425068038,-1,240,2004,(30 Oct 1997),Berkley Publishing Group,Penguin Putnam Inc ,Taken at the Flood,Taken at the Flood,1
bx_23768_wor_15476,Ian McEwan,Ian McEwan,,Paperback,bx_23768,wor_15476,9780385494335,9780099277095,-1,240,1999,(29 Aug 1998),Anchor Books/Doubleday,Vintage Publishing ,The Innocent,The Innocent,0
bx_70641_wor_14747,John Berendt,John Berendt,,Paperback,bx_70641,wor_14747,9780679460800,9781444738728,-1,648,1997,(10 Nov 2011),Random House Audio,Hodder & Stoughton ,Midnight in the Garden of Good and Evil,Midnight in the Garden of Good and Evil,0
bx_12430_wor_6926,Aliza Sherman,Aliza Sherman,,Paperback,bx_12430,wor_6926,9780345423825,9780345423825,-1,273,1998,(1 Jan 1999),Ballantine Books,Random House USA Inc ,Cybergrrl!: A Woman's Guide to the World Wide Web,Cybergrrl! A Woman's Guide to the World Wide Web,1
bx_28068_wor_12698,NICHOLAS SHAKESPEARE,Nicholas Shakespeare,,Hardback,bx_28068,wor_12698,9780385485135,9780385485135,-1,-1,1996,(27 Dec 1996),Nan A. Talese,Nan A. Talese ,The Dancer Upstairs,The Dancer Upstairs,1
bx_6514_wor_14721,J. R. R. Tolkien,J. R. R. Tolkien,,Hardback,bx_6514,wor_14721,9780345272584,9780007203543,-1,456,1977,(17 Oct 2005),Not Avail,HarperCollins Publishers ,The Fellowship of the Ring,The Fellowship of the Ring,0
bx_68640_wor_14749,JOHN BERENDT,John Berendt,,Hardback,bx_68640,wor_14749,9780679438021,9780679643418,-1,416,1995,(29 Sep 2005),Random House Audio,Random House USA Inc ,Midnight in the Garden of Good and Evil,Midnight in the Garden of Good and Evil,0
bx_18912_wor_29799,Christopher Paolini,Christopher Paolini,,Hardback,bx_18912,wor_29799,9780375826689,9781417675524,-1,503,2004,(26 Apr 2005),Knopf,Turtleback Books ,Eragon,Eragon,0
bx_62991_wor_7259,Kristen Britain,Kristin Britain,,Paperback,bx_62991,wor_7259,9780886778248,9780886778583,-1,480,1998,(27 Apr 2000),Daw Books,Penguin Putnam Inc ,Green Rider,Green Rider,0
bx_12764_wor_3409,Lewis Carroll,"Lewis Carroll, Anthony Browne",,Paperback,bx_12764,wor_3409,9780517488904,9781406370706,-1,128,1986,(1 Sep 2016),Random House Value Publishing,Walker Books Ltd ,Alices Adventures In Wonderland,Alice's Adventures in Wonderland,0
bx_259367_wor_37894,Terence Dickinson,Terence Dickinson,,Hardback,bx_259367,wor_37894,9781552093023,9781554071470,-1,192,1998,(1 Sep 2006),Firefly Books Ltd,Firefly Books Ltd ,Nightwatch: A Practical Guide to Viewing the Universe,Nightwatch: A Practical Guide to Viewing the Universe,0
bx_53524_wor_15371,Gabriel Garcia Marquez,"Gabriel Garcia Marquez, Gregory Rabassa",,Paperback,bx_53524,wor_15371,9780060919658,9780141184999,-1,432,1991,(31 Aug 2000),Harpercollins Publisher,Penguin Books Ltd ,one hundred years of solitude,One Hundred Years of Solitude,0
bx_29583_wor_13243,L. E. Modesitt Jr.,L. E. Modesitt,,Paperback,bx_29583,wor_13243,9780812545586,9780812545586,-1,320,1998,(18 Jun 1998),Tor Science Fiction,TBS The Book Service Ltd ,Adiamante,Adiamante,1
bx_26232_wor_12112,Sten Nadolny,Sten Nadolny,,Paperback,bx_26232,wor_12112,9783492222730,9783492222730,-1,285,1996,(1 Mar 1996),Piper,Piper Verlag GmbH ,Ein Gott der Frechheit.,Ein Gott der Frechheit,1
bx_1106_wor_19744,Wally Lamb,Wally Lamb,Paperback,Paperback,bx_1106,wor_19744,9780671003753,9780671003753,-1,416,1996,(4 Aug 1997),Washington Square Press,Simon & Schuster Ltd ,She's Come Undone,She's Come Undone,1
bx_155311_wor_1619,STOKER BRAM,"Bram Stoker, Mark Gatiss, Steven Moffat",,Paperback,bx_155311,wor_1619,9782290034026,9781785945168,-1,432,0,(2 Jan 2020),Editions 84,Ebury Publishing ,DRACULA,Dracula,0
bx_19576_wor_9645,John W. Dowdee,John W Dowdee,,Paperback,bx_19576,wor_9645,9780595270590,9780595270590,-1,284,2003,(12 Mar 2003),Writers Advantage,iUniverse ,The Greenhouse Conspiracy,The Greenhouse Conspiracy,1
bx_16046_wor_8337,Nigel Warburton,,,Paperback,bx_16046,wor_8337,9780415222815,9780415222815,-1,164,2000,(6 Apr 2000),Routledge,Taylor & Francis Ltd ,Thinking from A to Z,Thinking From A to Z,1
bx_12620_wor_7007,GRAHAM SALISBURY,Graham Salisbury,,Paperback,bx_12620,wor_7007,9780440411390,9780440411390,-1,246,1995,(1 Mar 2001),Yearling,Bantam Doubleday Dell Publishing Group Inc ,Under the Blood-Red Sun,Under the Blood-Red Sun,1
bx_191367_wor_35873,M. Deangeli,Marguerite de Angeli,,Hardback,bx_191367,wor_35873,9780440227403,9780812440973,-1,-1,1997,(1 Jul 1990),Random House Childrens Pub (Mm),Perfection Learning ,The Door in the Wall,The Door in the Wall,0
bx_16306_wor_8461,Alligator Descartes,"Alligator Descartes, Tim Bunce",,Paperback,bx_16306,wor_8461,9781565926998,9781565926998,-1,368,2000,(25 Feb 2000),O'Reilly,"O'Reilly Media, Inc, USA ",Programming the Perl DBI,Programming the Perl DBI: Database Programming with Perl,1
bx_54961_wor_9971,John Hockenberry,John Hockenberry,,Paperback,bx_54961,wor_9971,9780786860784,9780786881628,-1,416,1995,(11 Jul 1996),Hyperion Books,Hyperion Books ,"Moving Violations: War Zones, Wheelchairs, and Declarations of Independence","Moving Violations: War Zones, Wheelchairs, and Declarations of Independence",0
bx_16120_wor_8382,Mercedes Lackey,Mercedes Lackey,,Paperback,bx_16120,wor_8382,9780886777555,9780886777555,-1,463,1997,(12 Apr 2003),Daw Books,Daw Books ,Storm Breaking,Storm Breaking: Mage Storms Three,1
bx_16492_wor_6219,Anne McCaffrey,Anne McCaffrey,,Paperback,bx_16492,wor_6219,9780345256669,9780345349354,-1,320,1977,(12 May 1987),Ballantine Books,Random House USA Inc ,Get off the unicorn,Get Off the Unicorn,0
bx_16718_wor_8551,Martha Sacks,"Martha Sacks, Jack Davis",,Paperback,bx_16718,wor_8551,9780898157802,9780898157802,-1,64,1995,(1 Aug 1995),Ten Speed Press,Random House USA Inc ,Menopaws: The Silent Meow,Menopaws: The Silent Meow,1
bx_19080_wor_11147,Karen Kijewski,Karen Kijewski,,Paperback,bx_19080,wor_11147,9780385420952,9780553293913,-1,316,1992,(31 Mar 1999),Random House Childrens Books,Bantam Doubleday Dell Publishing Group Inc ,Kat's Cradle,Kats Cradle,0
bx_18647_wor_9254,Julian May,Julian May,,Paperback,bx_18647,wor_9254,9780345362490,9780345362490,-1,432,1997,(29 Jun 1997),Del Rey Books,Del Rey Books ,Magnificat,Magnificat,1
bx_89191_wor_17151,Louisa May Alcott,"Louisa May Alcott, Ella Bailey",,Paperback,bx_89191,wor_17151,9780486410234,9781847495877,-1,352,2000,(1 May 2016),Dover Publications,Alma Books Ltd ,Little Women,Little Women,0
bx_233923_wor_35261,E.A. Wallis Budge,Michael Northrop,,Paperback,bx_233923,wor_35261,9780517122839,9781407157009,-1,208,1995,(27 Jan 2015),Gramercy,Scholastic ,The Book of the Dead,The Book of the Dead,0
bx_270688_wor_8013,Watterson,Bill Watterson,,Paperback,bx_270688,wor_8013,9788440682499,9780836220889,-1,127,1999,(6 Jan 1987),Grupo Zeta,Andrews McMeel Publishing ,Calvin y Hobbes 8,Calvin and Hobbes,0
bx_74262_wor_32158,Livia Bitton-Jackson,Livia Bitton-Jackson,,Hardback,bx_74262,wor_32158,9780689823954,9780756963965,-1,234,1999,(1 Mar 1999),Simon Pulse,Perfection Learning ,I Have Lived A Thousand Years: Growing Up In The Holocaust,I Have Lived a Thousand Years: Growing Up in the Holocaust,0
bx_156453_wor_14559,Michael Ondaatje,Michael Ondaatje,,Hardback,bx_156453,wor_14559,9780786211517,9781841593395,-1,263,1997,(30 Sep 2011),Thorndike Pr,Everyman ,The English Patient,The English Patient,0
bx_26453_wor_12182,Rudyard Kipling,Rudyard Kipling,,Paperback,bx_26453,wor_12182,9780812504699,9780812504699,-1,10,1992,(1 Jan 1920),Tor Books,St Martin's Press ,Jungle Book,The Jungle Book,1
bx_108528_wor_2827,William Goldman,William Goldman,,Paperback,bx_108528,wor_2827,9780345439741,9780345439741,-1,224,2001,(1 Nov 2001),Ballantine Books,Hachette Children's Group ,The Temple of Gold,The Temple of Gold,1
bx_28459_wor_12868,Gustav Meyrink,Gustav Meyrink,,Paperback,bx_28459,wor_12868,9782080710987,9782080710987,-1,-1,2003,(21 Jan 2003),Flammarion,Editions Flammarion ,Le Golem,Le Golem,1
bx_66892_wor_39900,Cynthia DeFelice,Cynthia C DeFelice,Paperback,Paperback,bx_66892,wor_39900,9780380713585,9780380713585,-1,128,1991,(1 Oct 1991),HarperTrophy,HarperCollins ,Weasel,Weasel,1
bx_27370_wor_12467,Debra Doyle,"Debra Doyle, James D. MacDonald, James D. MacDonald",,Paperback,bx_27370,wor_12467,9780812517064,9780812517064,-1,416,1994,(1 Jun 1997),Tor Books,St Martin's Press ,By Honor Betray'D,By Honor Betray'd,1
bx_175724_wor_14403,Thomas Hardy,"Thomas Hardy, Claire Seymour, Dr. Keith Carabine",,Paperback,bx_175724,wor_14403,9781853262272,9781853262272,-1,192,1998,(5 Nov 1994),NTC/Contemporary Publishing Company,Wordsworth Editions Ltd ,Under the Greenwood Tree,Under the Greenwood Tree,1
bx_144981_wor_12054,Devra Gartenstein,Jane Feather,,Paperback,bx_144981,wor_12054,9781580910798,9780553578966,-1,328,2000,(1 Sep 1999),Crossing Press,Bantam Doubleday Dell Publishing Group Inc ,The Accidental Vegan,The Accidental Bride,0
bx_12770_wor_7059,Gary Paulsen,Gary Paulsen,,Paperback,bx_12770,wor_7059,9780440206323,9780440206323,-1,202,1990,(15 Apr 1990),Laure Leaf,Bantam Doubleday Dell Publishing Group Inc ,The Island,The Island,1
bx_215693_wor_6224,Patrick O'Brian,Patrick O'Brian,,Hardback,bx_215693,wor_6224,9780393314595,9780393037609,-1,288,1996,(24 Aug 1995),W. W. Norton  Company,WW Norton & Co ,The Commodore,The Commodore,0
bx_29049_wor_13068,Jerrilyn Farmer,Jerrilyn Farmer,Paperback,Paperback,bx_29049,wor_13068,9780380795963,9780380795963,-1,248,1998,(31 May 1998),Avon,HarperCollins Publishers Inc ,Sympathy for the Devil,Sympathy for the Devil: A Madeline Bean Mystery,1
bx_208645_wor_6373,Karen Marie Moning,Karen Marie Moning,,Paperback,bx_208645,wor_6373,9780739428924,9780440237556,-1,1,2002,(1 Oct 2002),DELL,Bantam Doubleday Dell Publishing Group Inc ,The Dark Highlander,The Dark Highlander,0
bx_15070_wor_20868,Faye Kellerman,Faye Kellerman,,Hardback,bx_15070,wor_20868,9780446531313,9780446532327,-1,624,2003,(5 Sep 2003),Warner Books,Hachette International ,Street Dreams,Street Dreams,0
bx_25889_wor_11970,Willa Cather,Willa Cather,,Paperback,bx_25889,wor_11970,9780679764045,9780679764045,-1,240,1995,(26 Sep 1995),Vintage Books USA,Random House USA Inc ,Shadows on the Rock,Shadows on the Rock,1
bx_142244_wor_18008,William Bernhardt,Andrea Kane,,Hardback,bx_142244,wor_18008,9780345428141,9781682320006,-1,384,2001,(29 Sep 2016),Ballantine Books,Bonnie Meadow Publishing LLC ,Murder One,The Murder That Never Was,0
bx_203453_wor_7725,Aristophanes,Aristophanes,Paperback,Paperback,bx_203453,wor_7725,9780451527899,9780486282251,-1,64,2001,(1 Jan 1995),Signet Classics,Dover Publications Inc. ,Lysistrata,Lysistrata,0
bx_26874_wor_12328,Archer Mayor,Archer Mayor,Paperback,Paperback,bx_26874,wor_12328,9780446400992,9780446400992,-1,311,1994,(1 Nov 1994),Warner Books,Mysterious Press ,Skeleton's Knee,The Skeleton's Knee,1
bx_21497_wor_10373,Amos Oz,"Amos Oz, Nicholas de Lange",,Paperback,bx_21497,wor_10373,9780521576222,9780521576222,-1,220,1996,(13 Jul 1996),Cambridge University Press,Cambridge University Press ,Under this Blazing Light,Under this Blazing Light,1
bx_23020_wor_9031,ELIZABETH BERG,Elizabeth Berg,,Paperback,bx_23020,wor_9031,9780679449430,9780345423092,-1,208,1997,(1 Jan 2003),Random House,Random House USA Inc ,Joy School,Joy School,0
bx_153845_wor_11752,Andy Rathbone,Andy Rathbone,,Paperback,bx_153845,wor_11752,9781568840895,9781568849072,-1,354,1994,(21 Jul 1995),John Wiley  Sons,John Wiley & Sons Inc ,Multimedia CD-ROMs for Dummies,Multimedia and CD-Roms for Dummies,0
bx_13691_wor_7414,Roz Levine,Roz Levine,,Paperback,bx_13691,wor_7414,9780671785017,9780671785017,-1,128,1993,(1 Dec 1992),Fireside,Prentice Hall (a Pearson Education company) ,PALMISTRY : HOW TO CHART THE LINES OF YOUR LIFE,Palmistry: How to Chart the Lines of Your Destiny,1
bx_129960_wor_18655,Richard Bach,Richard Bach,,Paperback,bx_129960,wor_18655,9789501505795,9788490707432,-1,-1,2001,(1 Nov 2018),Ediciones B,"Ediciones B, SA ",Juan Salvador Gaviota,Juan Salvador Gaviota,0
bx_83356_wor_29898,Jack Gantos,Jack Gantos,Paperback,Paperback,bx_83356,wor_29898,9780064410229,9781250061676,-1,196,2002,(1 Jul 2014),HarperTrophy,Square Fish ,Joey Pigza Loses Control,Joey Pigza Loses Control,0
bx_150940_wor_17326,Enid Blyton,Enid Blyton,,Paperback,bx_150940,wor_17326,9780754060413,9780340681213,-1,176,1998,(23 Apr 1997),Chivers North Amer,Hachette Children's Group ,Five Go to Billycock Hill,Famous Five: Five Go To Billycock Hill: Book 16,0
bx_23943_wor_11334,Barry Hannah,Gianni Versace,,Hardback,bx_23943,wor_11334,9780789200013,9780789200013,-1,274,1995,(1 Jun 1995),Abbeville Press,"Abbeville Press Inc.,U.S. ",Men Without Ties,Men without Ties,1
bx_15181_wor_8012,Bill Watterson,Bill Watterson,,Paperback,bx_15181,wor_8012,9780836218626,9780836218626,-1,127,1990,(1 Jan 1990),Andrews McMeel Publishing,Andrews McMeel Publishing ,Weirdos From Another Planet!,Weirdos from Another Planet,1
bx_142017_wor_18851,Lewis Carroll,"Lewis Carroll, Tove Jansson",,Hardback,bx_142017,wor_18851,9780590339605,9781854379573,-1,112,1985,(11 Mar 2011),Scholastic,Tate Publishing ,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland,0
bx_33231_wor_48731,Lucia Capacchione,Lucia Capacchione,,Paperback,bx_33231,wor_48731,9780878771486,9781564145383,-1,216,1989,(1 Nov 2001),Career Pr,Career Press ,The Creative Journal: The Art of Finding Yourself,The Creative Journal: The Art of Finding Yourself,0
bx_112100_wor_22422,Paul Monette,Paul Monette,,Paperback,bx_112100,wor_22422,9780312015152,9780312015152,-1,277,1988,(31 Dec 1992),St. Martin's Press,St Martin's Press ,Taking Care of Mrs. Carroll,Taking Care of Mrs Carroll,1
bx_4451_wor_16440,Erich Segal,Erich Segal,,Paperback,bx_4451,wor_16440,9780380017607,9780380017607,-1,224,2002,(1 Aug 2002),HarperTorch,HarperCollins Publishers Inc ,Love Story,Love Story,1
bx_187021_wor_12816,Victor Hugo,Victor Hugo,,Paperback,bx_187021,wor_12816,9780140260205,9780679642572,-1,432,1996,(7 Jan 2002),Penguin Books Ltd,Random House USA Inc ,The Hunchback of Notre Dame,The Hunchback of Notre-Dame,0
bx_95879_wor_23067,Eric Jerome Dickey,Eric Jerome Dickey,,Paperback,bx_95879,wor_23067,9780451203007,9780451203007,-1,368,2001,(1 May 2001),New American Library,Penguin Putnam Inc ,Cheaters,Cheaters,1
bx_192335_wor_17941,Anne Frank,"Anne Frank, Mirjam Pressler, Susan Massotty",,Paperback,bx_192335,wor_17941,9780671461997,9780141315188,-1,352,1982,(28 Feb 2002),Washington Square Press,Penguin Books Ltd ,The Diary of a Young Girl,The Diary of a Young Girl,0
bx_13549_wor_10878,Ken Akamatsu,"Ken Akamatsu, Ken Akamatsu",,Paperback,bx_13549,wor_10878,9781591820161,9781931514941,-1,198,2002,(20 May 2002),Tokyopop,Tokyopop Press Inc ,Love Hina,Love Hina: v. 1,0
bx_1011_wor_41066,Judith Guest,Jay Carter,,Paperback,bx_1011,wor_41066,9780140065176,9780071410229,-1,128,1993,(1 May 2003),Penguin Books,McGraw-Hill Education - Europe ,Ordinary People,Nasty People,0
bx_127457_wor_48384,Nancy Geary,Julie Chibbaro,,Hardback,bx_127457,wor_48384,9780446527545,9780689857362,-1,262,2003,(1 May 2004),Warner Books,Simon & Schuster ,Redemption,Redemption,0
bx_11908_wor_6712,Nicholas Sparks,Nicholas Sparks,,Hardback,bx_11908,wor_6712,9780446525534,9780446525534,-1,256,1999,(7 Oct 1999),Warner Books,"Little, Brown & Company ",A Walk to Remember,A Walk to Remember,1
bx_60517_wor_14726,J. R. R. Tolkien,J. R. R. Tolkien,,Hardback,bx_60517,wor_14726,9780618129089,9780007203550,-1,368,2001,(17 Oct 2005),Houghton Mifflin Company,HarperCollins Publishers ,The Two Towers,The Two Towers Part 2,0
bx_247888_wor_16372,Kathleen E. Woodiwiss,Kathleen E. Woodiwiss,,Paperback,bx_247888,wor_16372,9780739406953,9780380807932,-1,512,2000,(9 May 2000),Avon,HarperCollins Publishers Inc ,A Season Beyond A Kiss,A Season Beyond a Kiss,0
bx_10077_wor_5958,Phyllis White,P. D. James,,Paperback,bx_10077,wor_5958,9780446359757,9780446359757,-1,10,1991,(1 Feb 1991),Warner Books,"Little, Brown Book Group ",Devices and Desires,Devices and Desires,1
bx_28015_wor_12674,Manil Suri,Manil Suri,,Hardback,bx_28015,wor_12674,9780393050424,9780393050424,-1,304,2001,(20 Jun 2001),W.W. Norton  Company,WW Norton & Co ,The Death of Vishnu: A Novel,The Death of Vishnu: A Novel,1
bx_51858_wor_11626,Bill Wallace,Bill Wallace,,Paperback,bx_51858,wor_11626,9780689853418,9780671690144,-1,-1,2002,(1 Jul 1996),Aladdin,Simon & Schuster ,Trapped in Death Cave,Trapped in Death Cave,0
bx_165579_wor_12210,E. M. Forster,E M Forster,,Paperback,bx_165579,wor_12210,9780553214468,9780679736349,-1,181,1996,(18 Feb 1992),Bantam,Vintage ,Where Angels Fear to Tread,Where Angels Fear to Tread,0
bx_17068_wor_8675,Nancy Martin,Nancy Martin,,Paperback,bx_17068,wor_8675,9780451207241,9780451207241,-1,272,2002,(1 Oct 2002),Signet Book,Berkley Books ,How to Murder a Millionaire,How to Murder a Millionaire,1
bx_26571_wor_12233,Lucy Larcom,"Lucy Larcom, Nancy F. Cott",,Paperback,bx_26571,wor_12233,9780930350826,9780930350826,-1,300,1985,(31 Dec 1985),Northeastern University Press,University Press of New England ,A New England Girlhood Outlined from Memory: Outlined from Memory,A New England Girlhood,1
bx_27785_wor_12598,Robert Frost,Robert Frost,,Paperback,bx_27785,wor_12598,9780486275505,9780486275505,-1,49,1993,(31 May 2002),Dover Publications,Dover Publications Inc. ,The Road Not Taken and Other Poems,"The Road Not Taken, and Other Poems",1
bx_18552_wor_9212,John Irving,John Irving,,Paperback,bx_18552,wor_9212,9780345417947,9780345417947,-1,560,1997,(31 May 1997),Ballantine Books,Random House USA Inc ,The Cider House Rules,The Cider House Rules,1
bx_189348_wor_42054,Betsy Byars,Betsy Cromer Byars,,Paperback,bx_189348,wor_42054,9780140323085,9780140388268,-1,118,1987,(1 Jan 1998),Puffin Books,Penguin Books Australia ,The TV Kid,The TV Kid,0
bx_240417_wor_25491,Thomas Hardy,D. H. Lawrence,,Paperback,bx_240417,wor_25491,9780140436990,9780140424584,-1,240,1998,(29 May 2008),Penguin Books,Penguin Books Ltd ,Selected Poems,Selected Poems,0
bx_22591_wor_10820,Julia London,Julia London,,Paperback,bx_22591,wor_10820,9780743465069,9780743465069,-1,384,2004,(24 Mar 2004),Pocket Star,Simon & Schuster ,Highlander Unbound,Highlander Unbound,1
bx_23884_wor_11309,Margaret Truman,Margaret Truman,Paperback,Paperback,bx_23884,wor_11309,9780345443809,9780345443809,-1,336,2001,(30 Oct 2001),Fawcett Books,Fawcett Books ,Murder on Capitol Hill,Murder on Capitol Hill,1
bx_116434_wor_29957,Caroline B. Cooney,Caroline B. Cooney,,Paperback,bx_116434,wor_29957,9780590456807,9781504035576,-1,164,1997,(9 Jun 2016),Scholastic,Open Road Media ,The Stranger,The Stranger,0
bx_55227_wor_6201,Wally Lamb,Wally Lamb,,Hardback,bx_55227,wor_6201,9780694519408,9780060391621,-1,912,1998,(17 Feb 1998),ReganBooks,HarperCollins Publishers Inc ,I Know This Much Is True,I Know This Much is True,0
bx_11646_wor_11929,Sarah Waters,Sarah Waters,,Hardback,bx_11646,wor_11929,9781573229722,9781573222037,-1,-1,2002,(1 Feb 2002),Riverhead Books,Penguin Putnam Inc ,Fingersmith,Fingersmith,0
bx_58838_wor_18878,Mark Twain,Mark Twain,,Paperback,bx_58838,wor_18878,9780688075101,9781405842778,-1,32,1989,(21 Feb 2008),HarperCollins,Pearson Education Limited ,The Adventures of Tom Sawyer,Level 1: The Adventures of Tom Sawyer,0
bx_15302_wor_8064,Maeve Binchy,Maeve Binchy,,Paperback,bx_15302,wor_8064,9780440223207,9780440223207,-1,544,1998,(30 Apr 1998),Dell Publishing Company,Random House USA Inc ,Evening Class,Evening Class,1
bx_153768_wor_37471,Cynthia Voigt,Cynthia Voigt,,Paperback,bx_153768,wor_37471,9780689851315,9780007100163,-1,320,2002,(7 Aug 2000),Simon Pulse,HarperCollins Publishers ,Dicey's Song,Dicey's Song,0
bx_156519_wor_22384,Martin Buber,Martin Buber,,Paperback,bx_156519,wor_22384,9780815604228,9780815604228,-1,196,1996,(30 Sep 1996),Syracuse University Press,Syracuse University Press ,Ecstatic Confessions: The Heart of Mysticism,Ecstatic Confessions: The Heart of Mysticism,1
bx_25710_wor_1619,Bram Stoker,"Bram Stoker, Mark Gatiss, Steven Moffat",,Paperback,bx_25710,wor_1619,9780140434064,9781785945168,-1,432,1997,(2 Jan 2020),Penguin Books,Ebury Publishing ,Dracula,Dracula,0
bx_19281_wor_9516,Donna Andrews,Director of Therapy Research Donna Andrews,,Paperback,bx_19281,wor_9516,9780312978860,9780312978860,-1,-1,2001,(15 Jun 2001),St. Martin's Paperbacks,St. Martin's Press ,Murder With Puffins : A Meg Langslow Mystery,Murder with Puffins: A Mystery,1
bx_24060_wor_11381,Judith Sachs,"Judith Sachs, Lendon Smith",,Paperback,bx_24060,wor_11381,9780138876548,9780138876548,-1,528,1998,(11 Dec 1997),Prentice Hall Art,Prentice Hall Direct (a Pearson Education company) ,"Nature's Prozac: Natural Therapies and Techniques to Rid Yourself of Anxiety, Depression, Panic Attacks Stress","Nature's Prozac: Harness the Amazing Healing Power of All Natural Therapies and Techniques to Rid Yourself of Anxiety, Depression, Panic Attacks and Stress",1
bx_18402_wor_9133,Steven Levenkron,Steven Levenkron,,Hardback,bx_18402,wor_9133,9780393027419,9780393027419,-1,256,1998,(2 Sep 1998),W. W. Norton  Company,WW Norton & Co ,Cutting: Understanding and Overcoming Self-Mutilation,Cutting: Understanding and Overcoming Self-mutilation,1
bx_160310_wor_2346,Emily Bronte,Emily Bronte,,Paperback,bx_160310,wor_2346,9780895771599,9781787198487,-1,352,1982,(4 Jun 2018),Readers Digest Assn,Legend Press Ltd ,Wuthering Heights,Wuthering Heights,0
bx_14233_wor_7626,Emma Gold,Emma Gold,,Paperback,bx_14233,wor_7626,9780758203892,9780758203892,-1,300,2004,(1 Apr 2004),STRAPLESS,Kensington Publishing ,Easy,Easy,1
bx_21353_wor_10299,Herman Wouk,Herman Wouk,,Hardback,bx_21353,wor_10299,9780316955256,9780316955256,-1,685,1994,(1 Dec 1994),"Little, Brown",Little Brown and Company ,The Glory : A Novel,The Fiction:Glory: A Novel,1
bx_21836_wor_10534,Stephen King,S King,,Paperback,bx_21836,wor_10534,9782253150374,9782253150374,-1,-1,2001,(1 Mar 2001),Livre de poche,Livre de Poche ,Sac d'os,Sac D OS,1
bx_106170_wor_20233,Henry James,Henry James,,Paperback,bx_106170,wor_20233,9780451524997,9781840224276,-1,176,1995,(5 Aug 2001),Signet Classics,Wordsworth Editions Ltd ,Washington Square,Washington Square,0
bx_22217_wor_10679,Michell Cassou,Michele Cassou,,Paperback,bx_22217,wor_10679,9781585420858,9781585420858,-1,-1,2001,(25 Oct 2001),Jeremy P. Tarcher,Penguin Putnam Inc ,Point Zero: Creativity Without Limits,Point Zero: Creativity without Limits,1
bx_199084_wor_19447,Anonymous,Laura Zigman,,Paperback,bx_199084,wor_19447,9780553136364,9780375713224,-1,224,1979,(8 Jul 2003),Bantam Books,Anchor Books ,Her,Her,0
bx_25084_wor_11653,James Clavell,James Clavell,,Paperback,bx_25084,wor_11653,9780380703128,9780380703128,-1,-1,1987,(1 Nov 1987),Harper Mass Market Paperbacks (Mm),Avon Books ,Whirlwind,Whirlwind,1
bx_23659_wor_11217,Catherine Coulter,Catherine Coulter,,Paperback,bx_23659,wor_11217,9780451202314,9780451202314,-1,448,2000,(1 Oct 2000),Signet Book,Penguin Putnam Inc ,Beyond Eden,Beyond Eden,1
bx_27866_wor_12629,Rodman Philbrick,"Rodman Philbrick, W R Philbrick",,Hardback,bx_27866,wor_12629,9780439087582,9780439087582,-1,192,2000,(12 Feb 2002),Blue Sky Press (AZ),Blue Sky Press (AZ) ,The Last Book in the Universe,The Last Book in the Universe,1
bx_220767_wor_18795,William Shakespeare,William Shakespeare,,Paperback,bx_220767,wor_18795,9780140714623,9780198328674,-1,160,2000,(4 Mar 2010),Penguin Books,Oxford University Press ,The Merchant of Venice,Oxford School Shakespeare: Merchant of Venice,0
bx_122494_wor_34606,Muriel Dobbin,Libba Bray,,Paperback,bx_122494,wor_34606,9780451400598,9780385733984,-1,480,1988,(28 Sep 2010),Onyx Books,Bantam Doubleday Dell Publishing Group Inc ,Going Live,Going Bovine,0
bx_119667_wor_6732,Robert Penn Warren,Robert Warren,,Paperback,bx_119667,wor_6732,9780151047727,9780156004800,-1,438,1990,(1 Sep 1996),Harcourt,Cengage Learning EMEA ,All the King's Men,All the King's Men,0
bx_11307_wor_6465,Toni Morrison,Toni Morrison,,Hardback,bx_11307,wor_6465,9780375411557,9780375411557,-1,224,2000,(1 Apr 2000),Knopf,Random House USA Inc ,The Bluest Eye,The Bluest Eye,1
bx_12938_wor_7124,Miguel De Unamuno,Unamuno,,Paperback,bx_12938,wor_7124,9788437601854,9788437601854,-1,168,1992,(31 Dec 1995),Ediciones Catedra S.A.,"Ediciones Catedra, S.A. ","San Manuel Bueno, Martir","San Manuel Bueno, Martir: San Manuel Bueno, Martir",1
bx_46153_wor_42606,Lynne Reid Banks,Lynne Reid Banks,,Paperback,bx_46153,wor_42606,9780688121389,9780380720132,-1,256,1993,(13 Apr 2004),HarperCollins Publishers,HarperCollins Publishers Inc ,The Mystery of the Cupboard,The Mystery of the Cupboard,0
bx_28268_wor_12786,James Joyce,"James Joyce, Jim Norton, Marcella Riordan, Roger Marsh, Richard Wagner",,,bx_28268,wor_12786,9789626340110,9789626340110,-1,-1,1994,(31 Oct 2004),Naxos Audiobooks Ltd.,Naxos AudioBooks ,Ulysses,Ulysses,1
